Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Todd Gurley,LAR,RB,12,233,1175,5,15,61,46,474,4,1,1,29,347.9
2,Saquon Barkley,NYG,RB,12,195,954,4.9,8,91,74,602,4,0,0,26.6,318.6
3,Christian McCaffrey,CAR,RB,12,163,863,5.3,5,92,80,663,6,4,1,26,312.6
4,Alvin Kamara,NO,RB,12,161,742,4.6,11,84,65,555,4,1,0,24.8,297.7
5,James Conner,PIT,RB,12,201,909,4.5,12,68,52,467,1,4,2,23.7,284.6
6,Ezekiel Elliott,DAL,RB,12,240,1150,4.8,6,68,53,423,3,4,1,23.4,281.3
7,Melvin Gordon,LAC,RB,10,153,802,5.2,9,60,44,453,4,1,0,26.4,263.5
8,Kareem Hunt,KC,RB,11,181,824,4.6,7,35,26,378,7,0,0,21.5,236.2
9,James White,NE,RB,12,76,329,4.3,4,103,74,659,6,0,0,19.4,232.8
10,Phillip Lindsay,DEN,RB,12,154,937,6.1,8,32,25,189,1,0,0,16.7,200.6
11,Tarik Cohen,CHI,RB,12,74,315,4.3,2,77,59,659,4,5,2,16.7,200.44
12,David Johnson,ARI,RB,12,205,761,3.7,6,51,35,328,2,2,2,16.1,192.9
13,Joe Mixon,CIN,RB,10,154,755,4.9,5,42,33,256,1,0,0,17.3,173.1
14,Adrian Peterson,WAS,RB,12,192,856,4.5,7,20,16,177,1,3,2,14.3,171.3
15,TJ Yeldon,JAX,RB,12,100,401,4,1,74,53,472,4,1,1,14.1,169.3
16,Kenyan Drake,MIA,RB,12,96,439,4.6,4,59,40,311,4,1,1,13.5,162
17,Aaron Jones,GB,RB,10,112,642,5.7,7,32,23,178,1,1,1,15.5,155
17,Lamar Miller,HOU,RB,11,176,876,5,3,27,18,144,1,1,1,14.1,155
19,Nick Chubb,CLE,RB,12,131,694,5.3,7,16,12,133,2,0,0,12.9,154.7
20,Matt Breida,SF,RB,12,132,744,5.6,3,25,21,209,2,1,1,12.9,154.3
21,Tevin Coleman,ATL,RB,12,128,514,4,2,40,30,271,5,2,0,12.8,153.5
22,Kerryon Johnson,DET,RB,10,118,641,5.4,3,39,32,213,1,1,1,14.6,146.4
23,Isaiah Crowell,NYJ,RB,12,141,680,4.8,6,27,20,150,0,0,0,12.1,145
24,Austin Ekeler,LAC,RB,12,83,430,5.2,1,47,37,376,3,1,1,11.7,140.6
25,Dion Lewis,TEN,RB,12,135,464,3.4,1,51,45,309,1,1,1,11.1,133.3
26,Chris Carson,SEA,RB,10,157,704,4.5,4,17,13,127,0,3,2,12.7,127.1
27,Nyheim Hines,IND,RB,12,73,288,3.9,1,60,49,298,2,1,0,10.5,125.6
28,Jalen Richard,OAK,RB,12,36,214,5.9,0,67,56,478,0,2,1,10.4,124.2
29,Marlon Mack,IND,RB,8,117,583,5,4,18,12,90,1,0,0,14.9,119.3
30,Jordan Howard,CHI,RB,12,178,612,3.4,5,20,15,106,0,1,1,9.6,115.8
31,Peyton Barber,TB,RB,12,169,635,3.8,4,21,13,71,1,1,1,9.6,115.6
32,Latavius Murray,MIN,RB,12,111,466,4.2,5,24,20,135,0,0,0,9.6,115.1
33,Sony Michel,NE,RB,9,144,649,4.5,5,11,7,50,0,1,1,12.8,114.9
34,LeSean McCoy,BUF,RB,11,143,478,3.3,2,39,29,210,0,0,0,10.3,112.8
35,Alex Collins,BAL,RB,10,114,411,3.6,7,21,15,105,1,3,3,11.2,111.6
36,Mark Ingram,NO,RB,8,97,467,4.8,4,18,15,135,1,2,1,13.8,110.2
37,Duke Johnson,CLE,RB,12,28,146,5.2,0,47,36,347,3,1,0,8.9,107.3
38,Mike Davis,SEA,RB,11,90,396,4.4,3,29,23,134,1,0,0,9.4,103
39,Derrick Henry,TEN,RB,12,128,474,3.7,5,15,12,78,0,1,1,8,96.52
40,Javorius Allen,BAL,RB,12,41,110,2.7,3,43,35,196,2,1,1,7.9,94.6
41,Theo Riddick,DET,RB,10,19,74,3.9,0,62,51,338,0,0,0,9.2,92.2
42,Frank Gore,MIA,RB,12,139,616,4.4,0,15,11,100,1,0,0,7.6,91.6
43,Carlos Hyde,JAX,RB,11,154,511,3.3,5,13,7,30,0,2,1,8.2,90.1
44,Leonard Fournette,JAX,RB,5,90,314,3.5,4,14,14,134,1,0,0,17.8,88.8
45,Marshawn Lynch,OAK,RB,6,90,376,4.2,3,20,15,84,0,0,0,13.7,82
46,Dalvin Cook,MIN,RB,7,74,312,4.2,0,32,27,194,1,2,2,11.7,81.6
