Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsDraftKings,FantasyPointSnapPercentageDraftKings
1,Justin Jackson,LAC,RB,5,39,7.8,13.4,51.3,7.7,59,59,25.5,65.4
2,Nick Chubb,CLE,RB,12,261,21.8,30.9,50.2,6.1,54.8,56.3,154.7,59.3
3,Leonard Fournette,JAX,RB,5,149,29.8,35.7,60.4,9.4,69.8,69.8,88.8,59.6
4,Phillip Lindsay,DEN,RB,12,345,28.8,44.2,44.6,9.3,51.9,53.9,200.6,58.1
5,Melvin Gordon,LAC,RB,10,451,45.1,64.5,33.9,13.3,43.7,47.2,263.5,58.4
6,Sony Michel,NE,RB,9,217,24.1,28.6,66.4,5.1,69.6,71.4,114.9,52.9
7,Alvin Kamara,NO,RB,12,528,44,66.5,30.5,15.9,42.8,46.4,297.7,56.4
8,Todd Gurley,LAR,RB,12,700,58.3,85.4,33.3,8.7,39.9,42,347.9,49.7
8,Kareem Hunt,KC,RB,11,505,45.9,64.2,35.8,6.9,41,42.8,236.2,46.8
10,Matt Breida,SF,RB,12,311,25.9,38.6,42.4,8,49.2,50.5,154.3,49.6
11,Adrian Peterson,WAS,RB,12,375,31.2,47.9,51.2,5.3,55.5,56.5,171.3,45.7
12,Aaron Jones,GB,RB,10,327,32.7,49.7,34.3,9.8,41.3,44,155,47.4
13,Marlon Mack,IND,RB,8,263,32.9,49.1,44.5,6.8,49,51.3,119.3,45.4
14,Kenneth Dixon,BAL,RB,2,39,19.5,24.2,53.8,2.6,56.4,56.4,15.7,40.3
15,Jaylen Samuels,PIT,FB,10,55,5.5,6.5,21.8,16.4,34.5,38.2,27.5,50
16,Mark Ingram,NO,RB,8,237,29.6,46,40.9,7.6,47.3,48.5,110.2,46.5
17,Raheem Mostert,SF,RB,9,89,9.9,15,38.2,7.9,44.9,46.1,39.6,44.5
18,Isaiah Crowell,NYJ,RB,12,328,27.3,43.4,43,8.2,49.1,51.2,145,44.2
19,Saquon Barkley,NYG,RB,12,642,53.5,84,30.4,14.2,41.9,44.5,318.6,49.6
20,Tarik Cohen,CHI,RB,12,375,31.2,46.2,19.7,20.5,35.7,40.5,200.44,53.5
21,Austin Ekeler,LAC,RB,12,294,24.5,39.6,28.2,16,40.8,44.2,140.6,47.8
22,Rashaad Penny,SEA,RB,12,162,13.5,20.7,45.1,7.4,50.6,52.5,68.4,42.2
23,CJ Anderson,CAR,RB,9,55,6.1,9.6,43.6,5.5,45.5,49.1,19.8,36
24,Chris Carson,SEA,RB,10,303,30.3,42.2,51.8,5.6,56.1,57.4,127.1,41.9
25,Royce Freeman,DEN,RB,10,212,21.2,27.1,45.3,3.3,47.6,48.6,76.5,36.1
25,Brandon Bolden,MIA,RB,12,3,0.2,0.4,33.3,0,33.3,33.3,1,33.3
27,Josh Adams,PHI,RB,9,163,18.1,27.4,46.6,4.9,49.1,51.5,58.1,35.6
28,James White,NE,RB,12,486,40.5,58.3,15.6,21.2,30.9,36.8,232.8,47.9
29,LeGarrette Blount,DET,RB,12,212,17.7,26.1,53.3,3.3,56.1,56.6,74.6,35.2
30,Joe Mixon,CIN,RB,10,425,42.5,62.4,36.2,9.9,44,46.1,173.1,40.7
31,Jay Ajayi,PHI,RB,4,121,30.2,42,37.2,5,41.3,42.1,44.4,36.7
32,James Conner,PIT,RB,12,689,57.4,81.1,29.2,9.9,36.7,39,284.6,41.3
33,Kerryon Johnson,DET,RB,10,347,34.7,42.8,34,11.2,43.2,45.2,146.4,42.2
