Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Travis Kelce,KC,TE,12,114,79,69.3,1082,9,43,9.5,13.7,0,0,0,0,2,1,21.3,255.2
2,Zach Ertz,PHI,TE,12,121,93,76.9,978,6,34,8.1,10.5,0,0,0,0,0,0,19.9,238.8
3,Eric Ebron,IND,TE,12,88,54,61.4,589,11,53,6.7,10.9,3,-8,-2.7,1,1,1,15.5,186.1
4,George Kittle,SF,TE,12,93,62,66.7,893,3,82,9.6,14.4,1,10,10,0,0,0,14.9,178.3
5,Jared Cook,OAK,TE,12,78,54,69.2,709,6,45,9.1,13.1,0,0,0,0,0,0,14.2,169.9
6,Austin Hooper,ATL,TE,12,73,60,82.2,520,4,36,7.1,8.7,0,0,0,0,0,0,11.5,138
7,Jordan Reed,WAS,TE,12,83,54,65.1,558,2,34,6.7,10.3,0,0,0,0,1,1,10.1,120.8
8,OJ Howard,TB,TE,10,48,34,70.8,565,5,75,11.8,16.6,0,0,0,0,0,0,12,120.5
9,Trey Burton,CHI,TE,12,54,38,70.4,448,5,47,8.3,11.8,1,2,2,0,1,1,9.8,117
10,Jimmy Graham,GB,TE,12,72,44,61.1,536,2,54,7.4,12.2,0,0,0,0,0,0,9.4,112.6
11,Vance McDonald,PIT,TE,11,56,40,71.4,472,3,75,8.4,11.8,0,0,0,0,2,1,9.7,107.2
12,David Njoku,CLE,TE,12,69,44,63.8,439,3,24,6.4,10,0,0,0,0,0,0,8.8,105.9
13,Kyle Rudolph,MIN,TE,12,59,46,78,463,2,25,7.8,10.1,0,0,0,0,0,0,8.7,104.3
14,Rob Gronkowski,NE,TE,9,54,35,64.8,530,2,42,9.8,15.1,0,0,0,0,1,1,11.3,102
15,Jesse James,PIT,TE,12,35,27,77.1,386,2,51,11,14.3,0,0,0,0,0,0,6.7,80.6
16,Chris Herndon IV,NYJ,TE,10,40,28,70,345,3,32,8.6,12.3,0,0,0,0,1,0,8,80.5
17,Greg Olsen,CAR,TE,9,38,27,71.1,291,4,23,7.7,10.8,0,0,0,0,0,0,8.9,80.1
18,CJ Uzomah,CIN,TE,12,50,34,68,320,2,29,6.4,9.4,0,0,0,0,0,0,6.5,78
19,Mark Andrews,BAL,TE,12,37,26,70.3,384,2,74,10.4,14.8,0,0,0,0,0,0,6.4,76.4
20,Benjamin Watson,NO,TE,12,36,28,77.8,313,2,32,8.7,11.2,0,0,0,0,0,0,5.9,71.3
21,Jeff Heuerman,DEN,TE,11,48,31,64.6,281,2,36,5.9,9.1,0,0,0,0,0,0,6.5,71.1
22,Cameron Brate,TB,TE,12,36,23,63.9,221,4,21,6.1,9.6,0,0,0,0,1,1,5.7,68.1
23,Jonnu Smith,TEN,TE,12,31,20,64.5,258,3,61,8.3,12.9,0,0,0,0,1,0,5.3,63.8
24,Vernon Davis,WAS,TE,12,29,19,65.5,320,2,53,11,16.8,0,0,0,0,0,0,5.2,63
25,Evan Engram,NYG,TE,7,33,23,69.7,257,2,54,7.8,11.2,1,10,10,0,0,0,8.8,61.7
25,Ricky Seals-Jones,ARI,TE,12,56,27,48.2,287,1,40,5.1,10.6,0,0,0,0,0,0,5.1,61.7
27,Jack Doyle,IND,TE,6,33,26,78.8,245,2,20,7.4,9.4,0,0,0,0,1,1,10.2,61.5
28,Dallas Goedert,PHI,TE,12,31,21,67.7,221,3,32,7.1,10.5,0,0,0,0,0,0,5.1,61.1
29,Gerald Everett,LAR,TE,12,30,19,63.3,217,3,40,7.2,11.4,0,0,0,0,0,0,5.1,60.7
30,Antonio Gates,LAC,TE,12,32,19,59.4,239,2,27,7.5,12.6,0,0,0,0,0,0,4.9,58.9
30,Nick Vannett,SEA,TE,11,36,24,66.7,229,2,32,6.4,9.5,0,0,0,0,1,0,5.4,58.9
32,Rhett Ellison,NYG,TE,11,31,23,74.2,254,1,29,8.2,11,0,0,0,0,0,0,5.1,56.4
33,Geoff Swaim,DAL,TE,9,32,26,81.2,242,1,43,7.6,9.3,0,0,0,0,0,0,6.2,56.2
34,Jordan Thomas,HOU,TE,12,20,14,70,176,4,39,8.8,12.6,0,0,0,0,0,0,4.6,55.6
35,Tyler Higbee,LAR,TE,12,29,19,65.5,217,2,33,7.5,11.4,0,0,0,0,1,0,4.4,52.7
36,Nick Boyle,BAL,TE,12,35,21,60,198,0,25,5.7,9.4,0,0,0,0,0,0,3.4,40.8
37,Jason Croom,BUF,TE,12,24,15,62.5,147,1,26,6.1,9.8,0,0,0,1,1,1,3.4,40.7
38,Demetrius Harris,KC,TE,11,19,9,47.4,136,3,35,7.2,15.1,0,0,0,0,0,0,3.7,40.6
39,Virgil Green,LAC,TE,12,21,15,71.4,189,1,26,9,12.6,0,0,0,0,0,0,3.3,39.9
40,Tyler Eifert,CIN,TE,4,19,15,78.9,179,1,29,9.4,11.9,0,0,0,0,0,0,9.7,38.9
41,Will Dissly,SEA,TE,4,14,8,57.1,156,2,66,11.1,19.5,0,0,0,0,0,0,9.6,38.6
42,Matt LaCosse,DEN,TE,12,22,14,63.6,171,1,44,7.8,12.2,0,0,0,0,0,0,3.1,37.1
43,Michael Roberts,DET,TE,7,18,9,50,100,3,29,5.6,11.1,0,0,0,0,0,0,5.3,37
44,Charles Clay,BUF,TE,10,33,20,60.6,178,0,21,5.4,8.9,0,0,0,0,1,1,3.7,36.8
45,Anthony Firkser,TEN,TE,6,13,13,100,174,1,28,13.4,13.4,0,0,0,0,0,0,6.1,36.4
46,Ryan Griffin,HOU,TE,10,32,15,46.9,203,0,32,6.3,13.5,0,0,0,0,0,0,3.5,35.3
47,Erik Swoope,IND,TE,6,9,8,88.9,87,3,26,9.7,10.9,0,0,0,0,0,0,5.8,34.7
48,Josh Hill,NO,TE,12,16,12,75,160,1,23,10,13.3,0,0,0,0,0,0,2.8,34
48,James O'Shaughnessy,JAX,TE,10,29,17,58.6,170,0,17,5.9,10,0,0,0,0,0,0,3.4,34
50,Dan Arnold,NO,TE,8,17,12,70.6,150,1,25,8.8,12.5,0,0,0,0,1,0,4.1,33
51,Mike Gesicki,MIA,TE,12,25,18,72,156,0,27,6.2,8.7,0,0,0,0,1,1,2.7,32.6
52,Lance Kendricks,GB,TE,12,18,13,72.2,117,1,22,6.5,9,0,0,0,0,0,0,2.6,30.7
53,Ian Thomas,CAR,TE,12,22,16,72.7,133,0,27,6,8.3,0,0,0,0,0,0,2.4,29.3
54,Mo Alie-Cox,IND,TE,6,11,6,54.5,112,2,34,10.2,18.7,0,0,0,0,0,0,4.9,29.2
55,Ed Dickson,SEA,TE,6,7,6,85.7,106,2,42,15.1,17.7,0,0,0,0,0,0,4.8,28.6
55,Darren Fells,CLE,TE,12,8,7,87.5,96,2,49,12,13.7,0,0,0,0,0,0,2.4,28.6
57,Jordan Akins,HOU,TE,12,18,13,72.2,152,0,28,8.4,11.7,0,0,0,0,0,0,2.4,28.2
58,Luke Stocker,TEN,TE,12,15,11,73.3,109,1,31,7.3,9.9,1,0,0,0,0,0,2.3,27.9
59,Maxx Williams,BAL,TE,9,14,14,100,127,0,25,9.1,9.1,2,8,4,0,0,0,3.1,27.5
60,Austin Seferian-Jenkins,JAX,TE,5,20,11,55,90,1,21,4.5,8.2,0,0,0,0,0,0,5.2,26
61,Levine Toilolo,DET,TE,12,13,10,76.9,150,0,39,11.5,15,0,0,0,0,0,0,2.1,25
62,Jordan Leggett,NYJ,TE,11,17,10,58.8,77,1,16,4.5,7.7,0,0,0,0,0,0,2.2,23.7
63,Nick O'Leary,MIA,TE,6,9,8,88.9,86,1,19,9.6,10.8,0,0,0,0,0,0,3.8,22.6
64,Luke Willson,DET,TE,11,19,13,68.4,87,0,13,4.6,6.7,0,0,0,0,0,0,2,21.7
65,Hayden Hurst,BAL,TE,8,14,7,50,82,1,26,5.9,11.7,1,0,0,0,0,0,2.6,21.2
65,Logan Paulsen,ATL,TE,12,8,8,100,72,1,17,9,9,0,0,0,0,0,0,1.8,21.2
67,Lee Smith,OAK,TE,12,9,8,88.9,69,1,30,7.7,8.6,0,0,0,0,0,0,1.7,20.9
68,Niles Paul,JAX,TE,6,13,10,76.9,98,0,22,7.5,9.8,1,-3,-3,0,0,0,3.2,19.5
69,Logan Thomas,BUF,TE,9,14,11,78.6,72,0,24,5.1,6.5,0,0,0,0,0,0,2.1,18.8
70,Seth DeValve,CLE,TE,9,6,4,66.7,73,1,26,12.2,18.2,0,0,0,0,0,0,1.9,17.3
71,Jake Butt,DEN,TE,3,12,8,66.7,85,0,22,7.1,10.6,0,0,0,0,0,0,5.5,16.5
72,Blake Jarwin,DAL,TE,12,11,7,63.6,79,0,16,7.2,11.3,0,0,0,0,0,0,1.2,14.9
73,Jermaine Gresham,ARI,TE,10,10,8,80,78,0,26,7.8,9.8,0,0,0,0,1,1,1.5,14.8
74,Robert Tonyan Jr.,GB,TE,12,3,2,66.7,59,1,54,19.7,29.5,0,0,0,0,0,0,1.2,13.9
75,AJ Derby,MIA,TE,4,5,3,60,48,1,19,9.6,16,0,0,0,0,0,0,3.4,13.8
76,Eric Tomlinson,NYJ,TE,12,13,7,53.8,61,0,24,4.7,8.7,0,0,0,0,0,0,1.1,13.1
77,David Grinnage,JAX,TE,3,8,6,75,61,0,24,7.6,10.2,0,0,0,0,0,0,4,12.1
78,Garrett Celek,SF,TE,12,5,3,60,29,1,11,5.8,9.7,0,0,0,0,0,0,1,11.9
79,Joshua Perkins,PHI,TE,9,11,5,45.5,67,0,30,6.1,13.4,0,0,0,0,0,0,1.3,11.7
80,Xavier Grimble,PIT,TE,12,6,5,83.3,70,0,23,11.7,14,0,0,0,0,1,1,0.9,11
81,Matt Lengel,CIN,TE,5,6,3,50,17,1,9,2.8,5.7,0,0,0,0,0,0,2.1,10.7
82,Scott Simonson,NYG,TE,12,9,4,44.4,56,0,24,6.2,14,0,0,0,0,0,0,0.8,9.6
82,Antony Auclair,TB,TE,12,6,6,100,36,0,8,6,6,0,0,0,0,0,0,0.8,9.6
84,Delanie Walker,TEN,TE,1,7,4,57.1,52,0,16,7.4,13,0,0,0,0,0,0,9.2,9.2
84,Jacob Hollister,NE,TE,6,5,4,80,52,0,23,10.4,13,0,0,0,0,0,0,1.5,9.2
86,Dalton Schultz,DAL,TE,7,8,5,62.5,39,0,17,4.9,7.8,0,0,0,0,0,0,1.3,8.9
87,Derek Carrier,OAK,TE,12,10,5,50,38,0,12,3.8,7.6,0,0,0,0,0,0,0.7,8.8
88,David Morgan,MIN,TE,8,6,5,83.3,36,0,13,6,7.2,0,0,0,0,0,0,1.1,8.6
89,Adam Shaheen,CHI,TE,1,2,2,100,5,1,3,2.5,2.5,0,0,0,0,0,0,8.5,8.5
89,Blake Bell,JAX,TE,6,6,4,66.7,45,0,16,7.5,11.2,0,0,0,0,0,0,1.4,8.5
91,Tyler Kroft,CIN,TE,5,6,4,66.7,36,0,16,6,9,0,0,0,0,0,0,1.5,7.6
92,Marcedes Lewis,GB,TE,12,4,3,75,39,0,30,9.8,13,0,0,0,0,0,0,0.6,6.9
93,Rico Gathers,DAL,TE,11,6,2,33.3,46,0,32,7.7,23,0,0,0,0,0,0,0.6,6.6
93,MyCole Pruitt,TEN,TE,11,3,3,100,36,0,19,12,12,0,0,0,0,0,0,0.6,6.6
95,Eric Saubert,ATL,TE,12,6,3,50,33,0,17,5.5,11,0,0,0,0,0,0,0.5,6.3
96,Jordan Franks,CIN,TE,3,3,2,66.7,37,0,32,12.3,18.5,0,0,0,0,0,0,1.9,5.7
96,Dwayne Allen,NE,TE,10,4,3,75,27,0,21,6.8,9,0,0,0,0,0,0,0.6,5.7
