Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsDraftKings,FantasyPointSnapPercentageDraftKings
1,Robert Tonyan Jr.,GB,TE,12,23,1.9,2.9,0,13,8.7,13,13.9,60.4
2,Erik Swoope,IND,TE,6,69,11.5,9.9,0,13,11.6,13,34.7,50.3
3,Jordan Franks,CIN,TE,3,11,3.7,5.9,0,27.3,18.2,27.3,5.7,51.8
4,Anthony Firkser,TEN,TE,6,70,11.7,19.8,0,18.6,18.6,18.6,36.4,52
5,Adam Shaheen,CHI,TE,1,24,24,17.1,0,8.3,8.3,8.3,8.5,35.4
6,Eric Ebron,IND,TE,12,492,41,57.9,0.6,17.9,11.8,18.7,186.1,37.8
7,Seth DeValve,CLE,TE,9,60,6.7,9.6,0,10,6.7,10,17.3,28.8
8,Will Dissly,SEA,TE,4,127,31.8,49.2,0,11,6.3,11,38.6,30.4
9,Travis Kelce,KC,TE,12,749,62.4,95.3,0,15.2,10.5,15.2,255.2,34.1
10,OJ Howard,TB,TE,10,436,43.6,60.8,0,11,7.8,11,120.5,27.6
11,Gerald Everett,LAR,TE,12,214,17.8,26.1,0,14,8.9,14,60.7,28.4
12,Michael Roberts,DET,TE,7,150,21.4,24.2,0,12,6,12,37,24.7
13,Jared Cook,OAK,TE,12,582,48.5,73.6,0,13.4,9.3,13.4,169.9,29.2
13,Dan Arnold,NO,TE,8,114,14.2,19.2,0,14.9,10.5,14.9,33,28.9
15,Tyler Eifert,CIN,TE,4,132,33,49.1,0,14.4,11.4,14.4,38.9,29.5
16,Mo Alie-Cox,IND,TE,6,131,21.8,23.2,0,8.4,4.6,8.4,29.2,22.3
17,Zach Ertz,PHI,TE,12,771,64.2,93.7,0,15.7,12.1,15.7,238.8,31
18,Matt Lengel,CIN,TE,5,47,9.4,14.6,0,12.8,6.4,12.8,10.7,22.8
19,Antonio Gates,LAC,TE,12,245,20.4,33,0,13.1,7.8,13.1,58.9,24
20,Mark Andrews,BAL,TE,12,313,26.1,34.7,0,11.8,8.3,11.8,76.4,24.4
21,George Kittle,SF,TE,12,688,57.3,85.5,0.1,13.5,9.2,13.7,178.3,25.9
22,Vance McDonald,PIT,TE,11,428,38.9,55.9,0,13.1,9.3,13.1,107.2,25
23,Chris Herndon IV,NYJ,TE,10,371,37.1,49.1,0,10.8,7.5,10.8,80.5,21.7
24,Delanie Walker,TEN,TE,1,39,39,56.5,0,17.9,10.3,17.9,9.2,23.6
25,Ed Dickson,SEA,TE,6,171,28.5,42.5,0,4.1,3.5,4.1,28.6,16.7
26,Jordan Reed,WAS,TE,12,504,42,64.4,0,16.5,10.7,16.5,120.8,24
27,Evan Engram,NYG,TE,7,304,43.4,52.3,0.3,10.9,7.9,11.2,61.7,20.3
28,Cameron Brate,TB,TE,12,354,29.5,41.4,0,10.2,6.5,10.2,68.1,19.2
29,Greg Olsen,CAR,TE,9,429,47.7,68.8,0,8.9,6.3,8.9,80.1,18.7
30,Austin Hooper,ATL,TE,12,640,53.3,80.3,0,11.4,9.4,11.4,138,21.6
31,Vernon Davis,WAS,TE,12,368,30.7,47,0,7.9,5.2,7.9,63,17.1
32,Trey Burton,CHI,TE,12,659,54.9,81.3,0.2,8.2,5.9,8.3,117,17.8
33,Demetrius Harris,KC,TE,11,281,25.5,38.5,0,6.8,3.2,6.8,40.6,14.4
34,Jimmy Graham,GB,TE,12,598,49.8,75.2,0,12,7.4,12,112.6,18.8
34,Benjamin Watson,NO,TE,12,392,32.7,49.4,0,9.2,7.1,9.2,71.3,18.2
34,Dallas Goedert,PHI,TE,12,363,30.2,44.1,0,8.5,5.8,8.5,61.1,16.8
37,Rob Gronkowski,NE,TE,9,585,65,76.1,0,9.2,6,9.2,102,17.4
37,Jesse James,PIT,TE,12,470,39.2,55.3,0,7.4,5.7,7.4,80.6,17.1
37,Jordan Thomas,HOU,TE,12,385,32.1,46.6,0,5.2,3.6,5.2,55.6,14.4
