Rank,Name,Team,Position,Played,DraftKingsQuarterbackFantasyPointsAllowedAverage,DraftKingsRunningbackFantasyPointsAllowedAverage,DraftKingsWideReceiverFantasyPointsAllowedAverage,DraftKingsTightEndFantasyPointsAllowedAverage,DraftKingsKickerFantasyPointsAllowedAverage,DraftKingsFantasyPointsAllowedAverage
1,Baltimore Ravens,BAL,DST,12,16.26,17.22,29.3,13.48,4.33,80.59
2,Jacksonville Jaguars,JAX,DST,12,18.24,18.67,30.39,13.5,5.58,86.39
3,Buffalo Bills,BUF,DST,12,14.26,27.2,29.72,8.79,6.75,86.72
4,Dallas Cowboys,DAL,DST,12,17.71,21.5,29.66,14.52,5.67,89.05
5,Minnesota Vikings,MIN,DST,12,17.83,22.68,31.52,11.28,6.17,89.49
6,Los Angeles Chargers,LAC,DST,12,16.71,25.62,34.02,10.89,4.58,91.82
7,Tennessee Titans,TEN,DST,12,17.57,20.02,40.7,7.66,6.5,92.45
8,Chicago Bears,CHI,DST,12,16.89,20.83,40.48,9.87,5.5,93.57
9,Houston Texans,HOU,DST,12,17.85,22.5,33.9,14.99,5,94.24
10,Indianapolis Colts,IND,DST,12,18.66,25.73,31.21,13.46,7,96.06
11,Green Bay Packers,GB,DST,12,18.02,24.56,40.16,8.46,6.42,97.62
12,Pittsburgh Steelers,PIT,DST,12,20.26,21.14,38.44,14.04,5.75,99.63
13,Seattle Seahawks,SEA,DST,12,19.08,27.37,40.44,8.68,4.42,99.98
14,Arizona Cardinals,ARI,DST,12,16.8,31.46,36.76,9.93,6.17,101.12
15,Detroit Lions,DET,DST,12,19.92,28.96,37.48,10.52,4.58,101.47
16,New York Giants,NYG,DST,12,17.91,29.3,33.74,12.88,9.08,102.91
17,New England Patriots,NE,DST,12,20.89,24.36,36.39,15.33,6,102.96
18,Washington Redskins,WAS,DST,12,21.24,24.28,41.73,10.35,5.42,103.02
19,Denver Broncos,DEN,DST,12,18.92,25.44,39.16,13.89,6.34,103.76
20,Philadelphia Eagles,PHI,DST,12,20.2,25.3,42.83,8.32,7.33,103.98
21,New York Jets,NYJ,DST,12,19.06,25.7,42.74,9.62,7.08,104.21
22,New Orleans Saints,NO,DST,12,23.73,19.77,48.96,7.99,3.92,104.37
23,San Francisco 49ers,SF,DST,12,21.38,25.7,40.24,10.97,6.5,104.79
24,Miami Dolphins,MIA,DST,12,20.37,29.25,36.12,13.49,6.17,105.4
25,Los Angeles Rams,LAR,DST,12,21.21,24.18,39.23,14.68,7,106.31
26,Oakland Raiders,OAK,DST,12,21.18,27.66,33.52,17.47,6.83,106.65
27,Carolina Panthers,CAR,DST,12,22.55,20.28,41.05,16.82,6.75,107.46
28,Cleveland Browns,CLE,DST,12,20.49,29.46,40.58,15.32,7.17,113.01
29,Atlanta Falcons,ATL,DST,12,24.54,32.66,39.92,10.63,5.5,113.26
30,Tampa Bay Buccaneers,TB,DST,12,23.72,30.43,42.27,15.8,6.25,118.47
31,Kansas City Chiefs,KC,DST,12,23.56,33.18,38.16,17.69,6.42,119.01
32,Cincinnati Bengals,CIN,DST,12,25.12,34.27,39.4,14.95,7.08,120.82
