TeamName,PointsPerGame,RushingYards,RushingYardsPerAttempt,OpponentTacklesForLoss,OpponentTacklesForLossPercentage,TimesSacked,TimesSackedPercentage,OpponentQuarterbackHits,OpponentQuarterbackHitsPercentage
49ers,21.2,1550,4.7,90,27.3,38,8.7,93,21.3
Bears,28.7,1385,4.1,70,20.6,28,6.6,55,12.9
Bengals,23.8,1140,4.7,65,26.6,26,5.6,52,11.2
Bills,14.8,1453,4.2,85,24.4,36,8.9,78,19.3
Broncos,23,1590,5.4,52,17.5,28,6.3,73,16.6
Browns,22.2,1447,4.5,78,24.4,35,7.4,68,14.3
Buccaneers,26.5,1178,3.9,67,22.3,32,6.3,87,17
Cardinals,14.6,1032,3.8,68,25.2,32,8.3,76,19.7
Chargers,28.3,1502,4.9,57,18.8,22,5.4,66,16.3
Chiefs,37,1448,4.9,47,15.8,20,4.5,75,16.7
Colts,27.1,1283,4.4,54,18.4,14,2.8,61,12
Cowboys,20.6,1579,4.7,74,22.1,45,11,87,21.2
Dolphins,20.3,1232,4.3,67,23.3,31,8,72,18.5
Eagles,21.5,1239,4.2,74,24.8,34,7,84,17.3
Falcons,24.7,948,3.8,87,34.9,36,7.1,96,19
Giants,22.2,1150,4.6,87,34.8,41,8.6,79,16.5
Jaguars,16.9,1335,4.1,64,19.9,34,7.4,80,17.5
Jets,20.2,1303,4.2,72,23.4,28,6.6,62,14.6
Lions,21.2,1217,4.3,70,24.5,36,7.5,67,13.9
Packers,23.4,1268,5,63,24.6,37,7.3,75,14.8
Panthers,25.3,1690,5.5,51,16.7,24,5.6,54,12.6
Patriots,27.6,1460,4.1,42,11.9,16,3.5,51,11.3
Raiders,18.3,1264,4.4,72,25.1,39,8.4,74,15.9
Rams,34.9,1673,4.8,61,17.7,26,5.9,53,12
Ravens,24.8,1550,4.1,46,12.2,23,4.8,52,10.7
Redskins,19.4,1399,4.5,77,24.6,30,6.9,72,16.6
Saints,34.9,1529,4.2,42,11.6,13,3.2,38,9.4
Seahawks,26.6,1786,4.7,67,17.6,37,10.2,74,20.4
Steelers,28.8,1117,4.2,49,18.6,17,3.2,46,8.5
Texans,25.2,1689,4.5,84,22.2,41,10.1,97,23.9
Titans,18.4,1352,4,86,25.7,42,11.1,65,17.1
Vikings,22.9,1033,4.1,72,28.5,30,5.8,75,14.4
