TeamName,PointsPerGame,Score,PassingCompletions,PassingAttempts,CompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PassingInterceptions,FirstDownsByPassing,TimesSacked,TimesSackedYards,PasserRating
Buccaneers,26.5,318,321,479,67,4134,8.6,12.9,29,23,214,32,undefined,94
Steelers,28.8,346,344,522,65.9,3848,7.4,11.2,27,13,187,17,undefined,95
Chiefs,37,444,287,429,66.9,3798,8.9,13.2,41,10,182,20,undefined,117
Rams,34.9,419,276,416,66.3,3606,8.7,13.1,27,7,185,26,undefined,108
Falcons,24.7,296,331,468,70.7,3583,7.7,10.8,25,5,181,36,undefined,106
Packers,23.4,281,290,471,61.6,3299,7,11.4,21,2,158,37,undefined,96
Vikings,22.9,275,350,491,71.3,3298,6.7,9.4,23,9,182,30,undefined,97
Chargers,28.3,340,266,384,69.3,3291,8.6,12.4,28,6,165,22,undefined,113
Patriots,27.6,331,289,437,66.1,3281,7.5,11.4,20,8,158,16,undefined,96
Colts,27.1,325,334,494,67.6,3252,6.6,9.7,32,12,175,14,undefined,97
Saints,34.9,419,293,391,74.9,3230,8.3,11,30,3,165,13,undefined,121
Eagles,21.5,258,312,452,69,3090,6.8,9.9,19,8,167,34,undefined,95
Giants,22.2,267,298,438,68,3052,7,10.2,17,8,156,41,undefined,93
Ravens,24.8,297,281,461,61,2934,6.4,10.4,14,9,151,23,undefined,81
Raiders,18.3,220,293,425,68.9,2899,6.8,9.9,16,8,149,39,undefined,93
Browns,22.2,266,266,440,60.5,2877,6.5,10.8,20,13,141,35,undefined,83
Lions,21.2,254,294,446,65.9,2863,6.4,9.7,18,12,162,36,undefined,86
Bengals,23.8,286,274,439,62.4,2838,6.5,10.4,23,12,155,26,undefined,87
Bears,28.7,344,265,399,66.4,2834,7.1,10.7,24,11,141,28,undefined,96
Panthers,25.3,304,279,403,69.2,2832,7,10.2,24,11,162,24,undefined,98
49ers,21.2,255,246,399,61.7,2809,7,11.4,20,15,149,38,undefined,84
Texans,25.2,302,242,365,66.3,2799,7.7,11.6,21,9,146,41,undefined,98
Broncos,23,276,258,413,62.5,2798,6.8,10.8,15,10,132,28,undefined,84
Jaguars,16.9,203,263,424,62,2687,6.3,10.2,14,11,139,34,undefined,80
Redskins,19.4,233,252,403,62.5,2482,6.2,9.8,13,9,126,30,undefined,81
Seahawks,26.6,319,217,326,66.6,2453,7.5,11.3,29,5,118,37,undefined,112
Cowboys,20.6,247,243,365,66.6,2403,6.6,9.9,14,5,122,45,undefined,92
Dolphins,20.3,244,233,358,65.1,2393,6.7,10.3,21,10,120,31,undefined,92
Titans,18.4,221,227,338,67.2,2370,7,10.4,14,9,124,42,undefined,90
Jets,20.2,243,219,398,55,2309,5.8,10.5,12,18,111,28,undefined,63
Bills,14.8,178,203,369,55,1975,5.4,9.7,8,18,100,36,undefined,57
Cardinals,14.6,175,198,353,56.1,1840,5.2,9.3,12,15,96,32,undefined,64
