TeamName,PointsPerGame,Score,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownAttempts,ThirdDownPercentage,RedZoneAttempts,RedZonePercentage,OpponentTacklesForLoss,OpponentTacklesForLossPercentage,TimesSacked,TimesSackedPercentage,OpponentQuarterbackHits,OpponentQuarterbackHitsPercentage
49ers,21.2,255,767,4359,5.7,263,145,38.6,38,44.7,90,27.3,38,8.7,93,21.3
Bears,28.7,344,766,4219,5.5,258,149,39.6,41,65.9,70,20.6,28,6.6,55,12.9
Bengals,23.8,286,709,3978,5.6,243,135,38.5,33,75.8,65,26.6,26,5.6,52,11.2
Bills,14.8,178,754,3428,4.5,202,166,30.7,25,60,85,24.4,36,8.9,78,19.3
Broncos,23,276,738,4388,5.9,238,150,34.7,36,55.6,52,17.5,28,6.3,73,16.6
Browns,22.2,266,795,4324,5.4,240,164,33.5,36,69.4,78,24.4,35,7.4,68,14.3
Buccaneers,26.5,318,812,5312,6.5,307,140,49.3,47,59.6,67,22.3,32,6.3,87,17
Cardinals,14.6,175,655,2872,4.4,172,142,30.3,21,71.4,68,25.2,32,8.3,76,19.7
Chargers,28.3,340,710,4793,6.8,260,130,39.2,41,61,57,18.8,22,5.4,66,16.3
Chiefs,37,444,746,5246,7,292,129,47.3,55,72.7,47,15.8,20,4.5,75,16.7
Colts,27.1,325,802,4535,5.7,271,166,48.2,47,66,54,18.4,14,2.8,61,12
Cowboys,20.6,247,745,3982,5.3,232,159,39,37,48.6,74,22.1,45,11,87,21.2
Dolphins,20.3,244,676,3625,5.4,192,146,32.9,25,48,67,23.3,31,8,72,18.5
Eagles,21.5,258,784,4329,5.5,263,153,40.5,43,55.8,74,24.8,34,7,84,17.3
Falcons,24.7,296,753,4531,6,264,155,47.7,35,65.7,87,34.9,36,7.1,96,19
Giants,22.2,267,729,4202,5.8,221,150,36.7,38,47.4,87,34.8,41,8.6,79,16.5
Jaguars,16.9,203,780,4022,5.2,224,179,43,27,48.1,64,19.9,34,7.4,80,17.5
Jets,20.2,243,734,3612,4.9,187,160,29.4,30,36.7,72,23.4,28,6.6,62,14.6
Lions,21.2,254,768,4080,5.3,253,153,35.9,42,47.6,70,24.5,36,7.5,67,13.9
Packers,23.4,281,764,4567,6,246,149,35.6,37,62.2,63,24.6,37,7.3,75,14.8
Panthers,25.3,304,733,4522,6.2,267,129,40.3,44,68.2,51,16.7,24,5.6,54,12.6
Patriots,27.6,331,805,4741,5.9,275,152,40.8,41,63.4,42,11.9,16,3.5,51,11.3
Raiders,18.3,220,751,4163,5.5,231,148,38.5,35,51.4,72,25.1,39,8.4,74,15.9
Rams,34.9,419,787,5279,6.7,303,142,44.4,63,58.7,61,17.7,26,5.9,53,12
Ravens,24.8,297,860,4484,5.2,280,176,47.2,43,62.8,46,12.2,23,4.8,52,10.7
Redskins,19.4,233,746,3881,5.2,227,157,36.9,33,54.5,77,24.6,30,6.9,72,16.6
Saints,34.9,419,767,4759,6.2,296,137,45.3,54,70.4,42,11.6,13,3.2,38,9.4
Seahawks,26.6,319,743,4239,5.7,245,150,38.7,40,67.5,67,17.6,37,10.2,74,20.4
Steelers,28.8,346,802,4965,6.2,286,150,44.7,36,77.8,49,18.6,17,3.2,46,8.5
Texans,25.2,302,784,4488,5.7,245,157,39.5,45,48.9,84,22.2,41,10.1,97,23.9
Titans,18.4,221,714,3722,5.2,215,160,40,35,54.3,86,25.7,42,11.1,65,17.1
Vikings,22.9,275,774,4331,5.6,244,157,38.9,36,52.8,72,28.5,30,5.8,75,14.4
