Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Davante Adams,GB,WR,12,25,13,52,116,10,16,4.6,8.9,0,0,0,0,0,0,7,84.6
2,Michael Thomas,NO,WR,12,20,16,80,120,6,17,6,7.5,0,0,0,0,0,0,5.3,64
3,Adam Thielen,MIN,WR,12,17,13,76.5,78,6,15,4.6,6,0,0,0,0,1,1,4.8,57.8
4,DeAndre Hopkins,HOU,WR,12,17,10,58.8,85,6,16,5,8.5,0,0,0,0,0,0,4.5,54.5
5,Keenan Allen,LAC,WR,12,12,10,83.3,88,5,20,7.3,8.8,0,0,0,0,0,0,4.2,50.8
6,Tyreek Hill,KC,WR,12,12,9,75,45,5,14,3.8,5,1,4,4,0,0,0,3.7,43.9
7,Odell Beckham Jr,NYG,WR,12,20,7,35,54,5,20,2.7,7.7,1,-1,-1,0,0,0,3.5,42.3
8,Jaron Brown,SEA,WR,11,6,6,100,60,5,18,10,10,0,0,0,0,0,0,3.8,42
9,Chris Godwin,TB,WR,12,12,5,41.7,43,5,13,3.6,8.6,0,0,0,0,0,0,3.4,41.3
10,Calvin Ridley,ATL,WR,12,7,6,85.7,58,5,18,8.3,9.7,0,0,0,0,1,1,3.4,40.8
11,T.Y. Hilton,IND,WR,10,14,6,42.9,35,5,14,2.5,5.8,0,0,0,0,0,0,4,39.5
12,Larry Fitzgerald,ARI,WR,12,11,7,63.6,63,4,18,5.7,9,0,0,0,0,0,0,3.3,39.3
13,Chris Conley,KC,WR,12,6,5,83.3,39,5,15,6.5,7.8,0,0,0,0,0,0,3.2,38.9
13,Demaryius Thomas,HOU,WR,12,10,9,90,59,4,12,5.9,6.6,0,0,0,0,0,0,3.2,38.9
15,Brandin Cooks,LAR,WR,12,13,11,84.6,82,2,19,6.3,7.5,2,16,8,1,1,0,3.2,38.8
16,Tyler Boyd,CIN,WR,12,8,8,100,66,4,14,8.2,8.2,0,0,0,0,0,0,3.2,38.6
17,Alshon Jeffery,PHI,WR,9,11,6,54.5,56,4,16,5.1,9.3,0,0,0,0,0,0,4,35.6
18,AJ Green,CIN,WR,9,15,6,40,49,4,17,3.3,8.2,0,0,0,0,0,0,3.9,34.9
19,Curtis Samuel,CAR,WR,9,4,4,100,46,3,19,11.5,11.5,1,14,14,1,0,0,3.8,34
20,Anthony Miller,CHI,WR,11,10,6,60,40,4,18,4,6.7,1,-1,-1,0,0,0,3.1,33.9
21,JuJu Smith-Schuster,PIT,WR,12,23,12,52.2,78,2,18,3.4,6.5,0,0,0,0,0,0,2.8,33.8
22,Mike Williams,LAC,WR,12,8,5,62.5,44,4,20,5.5,8.8,1,3,3,0,0,0,2.8,33.7
23,Robert Woods,LAR,WR,12,11,5,45.5,29,4,8,2.6,5.8,2,8,4,0,0,0,2.7,32.7
24,Zay Jones,BUF,WR,12,12,6,50,61,3,16,5.1,10.2,0,0,0,0,1,0,2.7,32.1
25,Adam Humphries,TB,WR,12,9,7,77.8,57,3,16,6.3,8.1,1,7,7,0,0,0,2.6,31.4
26,Kenny Golladay,DET,WR,12,13,4,30.8,33,4,19,2.5,8.2,0,0,0,0,0,0,2.6,31.3
27,Sterling Shepard,NYG,WR,12,15,8,53.3,32,3,7,2.1,4,0,0,0,0,1,0,2.6,31.2
28,Julian Edelman,NE,WR,8,14,9,64.3,85,2,17,6.1,9.4,1,15,15,0,0,0,3.9,31
29,Stefon Diggs,MIN,WR,11,13,8,61.5,29,3,10,2.2,3.6,0,0,0,0,0,0,2.8,30.9
30,Devin Funchess,CAR,WR,11,11,7,63.6,52,3,18,4.7,7.4,0,0,0,0,0,0,2.7,30.2
31,Cooper Kupp,LAR,WR,8,12,8,66.7,40,3,19,3.3,5,2,1,0.5,0,0,0,3.8,30.1
32,Josh Reynolds,LAR,WR,12,8,6,75,59,3,19,7.4,9.8,1,-2,-2,0,0,0,2.5,29.7
33,Sammy Watkins,KC,WR,10,10,5,50,61,3,16,6.1,12.2,2,1,0.5,0,0,0,2.9,29.2
34,Kendrick Bourne,SF,WR,12,9,7,77.8,33,3,10,3.7,4.7,0,0,0,0,0,0,2.4,28.3
35,Marvin Jones,DET,WR,9,11,5,45.5,50,3,19,4.5,10,0,0,0,0,0,0,3.1,28
36,Jordy Nelson,OAK,WR,11,8,4,50,35,3,19,4.4,8.8,0,0,0,0,0,0,2.5,27.5
37,John Ross,CIN,WR,9,8,6,75,36,3,12,4.5,6,1,-3,-3,0,0,0,3,27.3
38,Tyler Lockett,SEA,WR,12,6,5,83.3,39,3,19,6.5,7.8,0,0,0,0,0,0,2.2,26.9
39,Kenny Stills,MIA,WR,11,3,3,100,28,3,13,9.3,9.3,0,0,0,0,0,0,2.3,25.8
39,Michael Crabtree,BAL,WR,12,9,5,55.6,28,3,12,3.1,5.6,0,0,0,0,0,0,2.2,25.8
41,Aldrick Robinson,MIN,WR,10,4,3,75,46,3,17,11.5,15.3,0,0,0,0,0,0,2.6,25.6
42,Jarvis Landry,CLE,WR,12,16,7,43.8,45,2,16,2.8,6.4,0,0,0,0,0,0,2.1,25.5
43,Antonio Brown,PIT,WR,12,16,5,31.2,24,3,9,1.5,4.8,0,0,0,0,0,0,2.1,25.4
44,David Moore,SEA,WR,12,7,3,42.9,37,3,19,5.3,12.3,0,0,0,0,0,0,2.1,24.7
45,Corey Davis,TEN,WR,12,14,6,42.9,47,2,15,3.4,7.8,0,0,0,0,0,0,1.9,22.7
46,Cole Beasley,DAL,WR,12,8,5,62.5,48,2,17,6,9.6,0,0,0,0,0,0,1.8,21.8
47,Phillip Dorsett,NE,WR,12,6,5,83.3,34,2,14,5.7,6.8,0,0,0,0,0,0,1.7,20.4
47,Dede Westbrook,JAX,WR,12,9,5,55.6,44,2,13,4.9,8.8,0,0,0,0,1,1,1.7,20.4
49,Emmanuel Sanders,DEN,WR,12,11,8,72.7,58,1,14,5.3,7.2,0,0,0,0,0,0,1.6,19.8
50,John Brown,BAL,WR,12,11,4,36.4,37,2,14,3.4,9.2,0,0,0,0,0,0,1.6,19.7
51,Amari Cooper,DAL,WR,11,11,4,36.4,27,2,10,2.5,6.8,1,9,9,0,0,0,1.8,19.6
52,Terrelle Pryor,BUF,WR,8,5,3,60,44,2,20,8.8,14.7,0,0,0,0,0,0,2.4,19.4
53,Will Fuller,HOU,WR,7,5,4,80,28,2,15,5.6,7,0,0,0,0,0,0,2.7,18.8
54,Antonio Callaway,CLE,WR,12,6,4,66.7,17,2,13,2.8,4.2,0,0,0,0,1,1,1.6,18.7
55,Torrey Smith,CAR,WR,8,3,3,100,14,2,8,4.7,4.7,0,0,0,0,0,0,2.3,18.4
56,Tajae Sharpe,TEN,WR,12,9,4,44.4,21,2,11,2.3,5.2,0,0,0,0,0,0,1.5,18.1
57,Allen Robinson,CHI,WR,10,10,3,30,27,2,14,2.7,9,0,0,0,0,0,0,1.8,17.7
