Name,DraftKingsSalary,FantasyPointsDraftKings,DPointsAllowed,OpponentPointsPerGame,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentTimesSackedPercentage,QuarterbackHitsPercentage,OpponentPassingAttempts,OpponentCompletionPercentage,OpponentPassingYards,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentPassingTouchdowns,OpponentPasserRating,Home,PointSpread,OverUnder,total,PointsPerGame,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownAttempts,ThirdDownPercentage,RedZoneAttempts,RedZonePercentage,PassingAttempts,CompletionPercentage,PassingYards,TeamPassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PasserRating,Rank,Team,TargetsGame,RecGame,RecPercentage,RecYardsGame,RecTdGame,YardsTarget,RecYardsRec,RushesGame,RushYardsGame,YardAttempt,RushTdGame,PointsGame,RZTargetsGame,RZRecGame,RZRecPercentage,RZRecYardsGame,RZRecTdGame,RZYardsTarget,RZRecYardsRec,RZRushesGame,RZRushYardsGame,RZYardAttempt,RZRushTdGame,RZPointsGame,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointSnapPercentageDraftKings,PLSProjections,RFProjections
Larry Fitzgerald,4900.0,12.96,37.48,26.3,58.17626582278481,354.05126582278484,6.1,20.640506329113926,10.736392405063292,39.5,3.2458860759493673,61.5,8.6,14.9,361,67.6,234.45284810126586,7.8,11.5,2.0806962025316458,108,True,3.0,40.5,18.75,14.6,54.645714285714284,239.60685714285714,4.4,14.349714285714285,11.846857142857143,30.3,1.752,71.4,27.281142857142857,57.2,142.41257142857143,5.2,9.1,1.0011428571428571,65,33.0,ARI,6.416666666666667,3.9166666666666665,61.0,42.333333333333336,0.4166666666666667,6.6,10.8,0.0,0.0,0.0,0.0,11.1,0.9166666666666666,0.5833333333333334,63.6,5.25,0.3333333333333333,5.7,9.0,0.0,0.0,0.0,0.0,3.3,51.8,90.8,0.0,12.4,7.6,12.4,21.4,13.098967887493261,12.045199255211156
Chad Williams,3000.0,5.37,37.48,26.3,58.17626582278481,354.05126582278484,6.1,20.640506329113926,10.736392405063292,39.5,3.2458860759493673,61.5,8.6,14.9,361,67.6,234.45284810126586,7.8,11.5,2.0806962025316458,108,True,3.0,40.5,18.75,14.6,54.645714285714284,239.60685714285714,4.4,14.349714285714285,11.846857142857143,30.3,1.752,71.4,27.281142857142857,57.2,142.41257142857143,5.2,9.1,1.0011428571428571,65,125.0,ARI,3.875,1.375,35.5,14.125,0.125,3.6,10.3,0.0,0.0,0.0,0.0,3.5,0.5,0.125,25.0,0.875,0.0,1.8,7.0,0.0,0.0,0.0,0.0,0.2,43.8,51.1,0.0,8.9,3.1,8.9,8.1,7.350682010603228,5.711820390048256
Trent Sherfield,3000.0,3.99,37.48,26.3,58.17626582278481,354.05126582278484,6.1,20.640506329113926,10.736392405063292,39.5,3.2458860759493673,61.5,8.6,14.9,361,67.6,234.45284810126586,7.8,11.5,2.0806962025316458,108,True,3.0,40.5,18.75,14.6,54.645714285714284,239.60685714285714,4.4,14.349714285714285,11.846857142857143,30.3,1.752,71.4,27.281142857142857,57.2,142.41257142857143,5.2,9.1,1.0011428571428571,65,164.0,ARI,0.6666666666666666,0.3333333333333333,50.0,3.6666666666666665,0.0,5.5,11.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,20.1,0.0,5.1,2.6,5.1,5.4,2.8080583625106623,2.5103825041809085
JJ Nelson,3000.0,3.09,37.48,26.3,58.17626582278481,354.05126582278484,6.1,20.640506329113926,10.736392405063292,39.5,3.2458860759493673,61.5,8.6,14.9,361,67.6,234.45284810126586,7.8,11.5,2.0806962025316458,108,True,3.0,40.5,18.75,14.6,54.645714285714284,239.60685714285714,4.4,14.349714285714285,11.846857142857143,30.3,1.752,71.4,27.281142857142857,57.2,142.41257142857143,5.2,9.1,1.0011428571428571,65,162.0,ARI,1.0,0.3333333333333333,33.3,1.75,0.0,1.8,5.2,0.25,0.4166666666666667,1.7,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,21.9,2.0,8.0,4.7,10.0,4.4,3.5735926146892574,1.900495914411049
Christian Kirk,4600.0,0.0,37.48,26.3,58.17626582278481,354.05126582278484,6.1,20.640506329113926,10.736392405063292,39.5,3.2458860759493673,61.5,8.6,14.9,361,67.6,234.45284810126586,7.8,11.5,2.0806962025316458,108,True,3.0,40.5,18.75,14.6,54.645714285714284,239.60685714285714,4.4,14.349714285714285,11.846857142857143,30.3,1.752,71.4,27.281142857142857,57.2,142.41257142857143,5.2,9.1,1.0011428571428571,65,41.0,ARI,5.666666666666667,3.5833333333333335,63.2,49.166666666666664,0.25,8.7,13.7,0.25,2.9166666666666665,11.7,0.0,10.3,0.4166666666666667,0.25,60.0,2.0,0.08333333333333333,4.8,8.0,0.08333333333333333,0.4166666666666667,5.0,0.0,1.0,45.2,79.1,0.6,12.5,8.5,13.1,22.8,12.310778662171922,11.962102726300307
Julio Jones,7900.0,22.9,40.16,23.9,63.45574912891986,351.58815331010453,5.5,20.15261324041812,13.740418118466899,38.2,3.2477351916376307,56.4,8.9,15.2,389,62.5,223.8439024390244,6.9,11.1,1.5822299651567944,93,False,5.0,50.0,22.5,24.7,62.83479729729729,378.093581081081,6.0,22.029729729729727,12.934121621621621,47.7,2.920608108108108,65.7,36.79966216216216,71.4,290.89256756756754,7.9,11.1,2.0027027027027025,108,5.0,ATL,11.083333333333334,7.166666666666667,64.7,110.25,0.25,9.9,15.4,0.16666666666666666,1.0,6.0,0.0,21.6,0.8333333333333334,0.25,30.0,2.4166666666666665,0.08333333333333333,2.9,9.7,0.0,0.0,0.0,0.0,0.8,54.0,81.3,0.3,20.5,13.6,20.8,40.0,20.715669456143488,20.03201291820428
Calvin Ridley,5200.0,11.94,40.16,23.9,63.45574912891986,351.58815331010453,5.5,20.15261324041812,13.740418118466899,38.2,3.2477351916376307,56.4,8.9,15.2,389,62.5,223.8439024390244,6.9,11.1,1.5822299651567944,93,False,5.0,50.0,22.5,24.7,62.83479729729729,378.093581081081,6.0,22.029729729729727,12.934121621621621,47.7,2.920608108108108,65.7,36.79966216216216,71.4,290.89256756756754,7.9,11.1,2.0027027027027025,108,20.0,ATL,5.916666666666667,4.166666666666667,70.4,53.916666666666664,0.6666666666666666,9.1,12.9,0.5,2.25,4.5,0.0,14.0,0.5833333333333334,0.5,85.7,4.833333333333333,0.4166666666666667,8.3,9.7,0.0,0.0,0.0,0.0,3.4,40.2,60.5,1.2,14.7,11.6,16.0,34.7,13.104933250687152,10.844257677850106
Mohamed Sanu,4300.0,10.25,40.16,23.9,63.45574912891986,351.58815331010453,5.5,20.15261324041812,13.740418118466899,38.2,3.2477351916376307,56.4,8.9,15.2,389,62.5,223.8439024390244,6.9,11.1,1.5822299651567944,93,False,5.0,50.0,22.5,24.7,62.83479729729729,378.093581081081,6.0,22.029729729729727,12.934121621621621,47.7,2.920608108108108,65.7,36.79966216216216,71.4,290.89256756756754,7.9,11.1,2.0027027027027025,108,39.0,ATL,5.166666666666667,3.75,72.6,48.583333333333336,0.25,9.4,13.0,0.25,0.16666666666666666,0.7,0.0,10.5,0.3333333333333333,0.25,75.0,2.5,0.08333333333333333,7.5,10.0,0.0,0.0,0.0,0.0,1.2,51.6,77.7,0.5,10.0,7.9,10.7,20.3,12.548135055163005,10.294746806025248
Justin Hardy,3000.0,2.15,40.16,23.9,63.45574912891986,351.58815331010453,5.5,20.15261324041812,13.740418118466899,38.2,3.2477351916376307,56.4,8.9,15.2,389,62.5,223.8439024390244,6.9,11.1,1.5822299651567944,93,False,5.0,50.0,22.5,24.7,62.83479729729729,378.093581081081,6.0,22.029729729729727,12.934121621621621,47.7,2.920608108108108,65.7,36.79966216216216,71.4,290.89256756756754,7.9,11.1,2.0027027027027025,108,148.0,ATL,1.0833333333333333,0.6666666666666666,61.5,6.166666666666667,0.0,5.7,9.2,0.0,0.0,0.0,0.0,1.3,0.16666666666666666,0.08333333333333333,50.0,0.3333333333333333,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.1,14.2,21.5,0.0,7.6,4.7,7.6,9.0,3.928701817209335,2.3788098459557636
Marvin Hall,3000.0,1.92,40.16,23.9,63.45574912891986,351.58815331010453,5.5,20.15261324041812,13.740418118466899,38.2,3.2477351916376307,56.4,8.9,15.2,389,62.5,223.8439024390244,6.9,11.1,1.5822299651567944,93,False,5.0,50.0,22.5,24.7,62.83479729729729,378.093581081081,6.0,22.029729729729727,12.934121621621621,47.7,2.920608108108108,65.7,36.79966216216216,71.4,290.89256756756754,7.9,11.1,2.0027027027027025,108,123.0,ATL,1.0833333333333333,0.75,69.2,11.583333333333334,0.08333333333333333,10.7,15.4,0.08333333333333333,0.25,3.0,0.0,2.4,0.16666666666666666,0.08333333333333333,50.0,0.5833333333333334,0.0,3.5,7.0,0.0,0.0,0.0,0.0,0.1,11.8,17.7,0.7,9.2,7.1,9.9,20.7,3.9535713286318437,2.8750166946267806
