TeamName,OpponentPointsPerGame,OpponentScore,OpponentPassingCompletions,OpponentPassingAttempts,OpponentCompletionPercentage,OpponentPassingYards,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentFirstDownsByPassing,OpponentTimesSacked,OpponentTimesSackedYards,OpponentPasserRating
49ers,26.9,350,279,453,61.6,3058,6.8,11,28,2,158,31,196,100
Bears,19,247,310,502,61.8,2947,5.9,9.5,21,25,154,40,260,71
Bengals,30.5,397,309,463,66.7,3560,7.7,11.5,27,11,182,28,130,99
Bills,24.6,320,259,406,63.8,2416,6,9.3,19,12,137,31,184,83
Broncos,21.7,282,302,468,64.5,3435,7.3,11.4,23,14,166,40,274,90
Browns,25.5,332,335,535,62.6,3613,6.8,10.8,19,15,186,30,188,83
Buccaneers,29.5,383,321,441,72.8,3491,7.9,10.9,29,8,174,34,217,110
Cardinals,25.2,327,289,425,68,2741,6.4,9.5,17,6,154,39,255,93
Chargers,20.8,270,284,444,64,2922,6.6,10.3,19,12,147,32,225,86
Chiefs,27,351,338,532,63.5,3663,6.9,10.8,25,11,203,42,289,91
Colts,23.1,300,317,441,71.9,3151,7.1,9.9,19,11,168,35,202,96
Cowboys,18.9,246,293,426,68.8,2945,6.9,10.1,19,8,151,35,210,95
Dolphins,25.6,333,287,437,65.7,3401,7.8,11.9,26,19,168,22,156,91
Eagles,22.7,295,340,504,67.5,3606,7.2,10.6,20,8,174,34,237,95
Falcons,28.2,367,316,457,69.1,3324,7.3,10.5,27,9,181,27,184,102
Giants,25.5,331,291,448,65,3237,7.2,11.1,18,15,162,24,154,86
Jaguars,21,273,256,417,61.4,2648,6.4,10.3,15,10,131,25,175,82
Jets,25.4,330,284,466,60.9,3169,6.8,11.2,21,13,156,28,203,85
Lions,24.5,319,270,402,67.2,3035,7.5,11.2,25,6,166,37,247,104
Packers,23.6,307,271,431,62.9,2925,6.8,10.8,22,7,154,40,299,93
Panthers,25.5,332,301,446,67.5,3313,7.4,11,28,11,161,30,189,100
Patriots,22.5,293,312,502,62.2,3373,6.7,10.8,26,14,177,24,189,88
Raiders,29.8,388,246,383,64.2,3220,8.4,13.1,31,10,148,11,71,107
Rams,24.1,313,282,438,64.4,3087,7,10.9,27,14,157,34,285,92
Ravens,18.5,241,278,473,58.8,2680,5.7,9.6,18,6,144,38,257,82
Redskins,22.8,297,307,461,66.6,3351,7.3,10.9,23,13,169,34,229,93
Saints,21.8,283,316,463,68.3,3525,7.6,11.2,24,11,186,41,268,98
Seahawks,20.5,266,294,443,66.4,3207,7.2,10.9,21,12,164,33,199,92
Steelers,23.5,306,298,466,63.9,3041,6.5,10.2,25,6,171,45,303,95
Texans,19.9,259,311,478,65.1,3388,7.1,10.9,22,13,167,36,258,90
Titans,19.5,254,279,431,64.7,2849,6.6,10.2,17,7,146,33,203,90
Vikings,22.4,291,263,410,64.1,2803,6.8,10.7,15,12,137,38,266,84
