TeamName,OpponentPointsPerGame,OpponentScore,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownConversions,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneConversions,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentPenalties,OpponentPenaltyYards,OpponentTimeOfPossession,OpponentTurnoverDifferential
Bills,24.6,320,779,3778,4.8,242,63,166,38,30,42,71.4,86,811,29:05,8
Ravens,18.5,241,814,3821,4.7,242,61,177,34.5,23,35,65.7,95,855,29:09,6
Bears,19,247,832,4029,4.8,232,62,180,34.4,18,32,56.2,98,899,29:24,-13
Cowboys,18.9,246,773,4074,5.3,237,66,161,41,18,37,48.6,63,476,29:53,0
Vikings,22.4,291,808,4207,5.2,257,44,148,29.7,19,44,43.2,80,628,31:53,-1
Jaguars,21,273,792,4213,5.3,238,65,171,38,20,38,52.6,74,577,29:27,10
Steelers,23.5,306,824,4301,5.2,266,60,163,36.8,25,41,61,104,888,30:02,8
Chargers,20.8,270,794,4314,5.4,255,65,164,39.6,21,41,51.2,78,623,29:08,-5
Titans,19.5,254,807,4346,5.4,242,59,162,36.4,16,36,44.4,90,781,30:26,4
49ers,26.9,350,823,4459,5.4,271,63,170,37.1,30,48,62.5,93,776,30:31,21
Colts,23.1,300,824,4489,5.4,263,70,167,41.9,20,37,54.1,107,942,31:28,-1
Lions,24.5,319,764,4533,5.9,270,57,145,39.3,24,40,60,75,750,29:50,6
Texans,19.9,259,830,4534,5.5,246,70,181,38.7,25,34,73.5,89,712,30:10,-9
Saints,21.8,283,782,4535,5.8,269,59,148,39.9,26,41,63.4,73,677,28:15,-8
Cardinals,25.2,327,872,4554,5.2,285,63,169,37.3,26,42,61.9,87,664,34:43,9
Packers,23.6,307,830,4566,5.5,264,66,177,37.3,25,44,56.8,74,562,30:29,-2
Panthers,25.5,332,780,4584,5.9,261,61,150,40.7,29,39,74.4,72,590,30:33,-2
Seahawks,20.5,266,773,4685,6.1,269,52,144,36.1,22,42,52.4,89,819,29:04,-11
Rams,24.1,313,788,4702,6,268,61,153,39.9,24,40,60,81,708,30:42,-10
Redskins,22.8,297,821,4811,5.9,274,68,158,43,23,44,52.3,87,701,30:55,-7
Giants,25.5,331,833,4820,5.8,274,64,164,39,24,47,51.1,94,809,32:30,-5
Patriots,22.5,293,827,4842,5.9,272,66,163,40.5,25,40,62.5,80,739,29:12,-6
Jets,25.4,330,867,4885,5.6,269,61,181,33.7,22,45,48.9,76,658,31:11,7
Broncos,21.7,282,849,4984,5.9,264,68,175,38.9,21,37,56.8,105,830,32:36,-9
Eagles,22.7,295,821,4992,6.1,252,65,171,38,21,47,44.7,98,870,30:34,6
Falcons,28.2,367,826,5030,6.1,306,81,158,51.3,32,44,72.7,87,810,31:53,4
Buccaneers,29.5,383,798,5043,6.3,289,55,143,38.5,38,46,82.6,100,934,30:30,17
Raiders,29.8,388,782,5099,6.5,262,74,159,46.5,30,51,58.8,93,765,29:29,5
Dolphins,25.6,333,839,5214,6.2,286,68,159,42.8,28,48,58.3,88,690,32:28,-8
Chiefs,27,351,902,5325,5.9,338,63,159,39.6,34,47,72.3,93,789,31:42,-6
Browns,25.5,332,933,5346,5.7,316,66,175,37.7,29,46,63,98,859,33:00,-9
Bengals,30.5,397,893,5485,6.1,318,96,182,52.7,34,50,68,90,727,33:38,1
