Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
1,Christian McCaffrey,CAR,RB,15,NO,14,2,8700,24.23
2,Todd Gurley,LAR,RB,15,PHI,25,13,9500,24.06
3,Saquon Barkley,NYG,RB,15,TEN,7,5,9400,24.05
4,Ezekiel Elliott,DAL,RB,15,IND,10,12,9000,23.21
5,Alvin Kamara,NO,RB,15,CAR,23,6,7800,21.95
6,Joe Mixon,CIN,RB,15,OAK,29,26,6100,19.05
7,David Johnson,ARI,RB,15,ATL,28,28,7100,17.61
8,Leonard Fournette,JAX,RB,15,WAS,16,14,7500,17.14
9,Nick Chubb,CLE,RB,15,DEN,20,15,6800,16.85
10,Phillip Lindsay,DEN,RB,15,CLE,26,27,6700,16.55
11,Dalvin Cook,MIN,RB,15,MIA,27,25,6500,16.3
12,Spencer Ware,KC,RB,15,LAC,8,21,6000,15.26
13,Tarik Cohen,CHI,RB,15,GB,15,16,6300,15.24
14,Aaron Jones,GB,RB,15,CHI,1,1,6600,15.07
15,Marlon Mack,IND,RB,15,DAL,4,4,4500,14.19
16,Doug Martin,OAK,RB,15,CIN,32,32,4700,14.03
17,James White,NE,RB,15,PIT,13,8,5700,13.99
18,Chris Carson,SEA,RB,15,SF,24,19,5600,13.98
19,Lamar Miller,HOU,RB,15,NYJ,21,19,5300,13.52
20,Mark Ingram,NO,RB,15,CAR,23,6,5600,12.91
21,James Conner,PIT,RB,15,NE,22,17,7400,12.45
22,Melvin Gordon,LAC,RB,15,KC,30,31,8000,12.36
23,Sony Michel,NE,RB,15,PIT,13,8,5400,12.25
24,Gus Edwards,BAL,RB,15,TB,31,29,4400,12.22
25,Justin Jackson,LAC,RB,15,KC,30,31,4900,12.04
26,Kenyan Drake,MIA,RB,15,MIN,6,10,4200,11.56
27,Theo Riddick,DET,RB,15,BUF,3,22,4400,11.35
28,Elijah McGuire,NYJ,RB,15,HOU,9,7,3600,11.31
29,Jeffery Wilson,SF,RB,15,SEA,11,18,4600,11.2
30,Josh Adams,PHI,RB,15,LAR,18,11,4800,10.81
31,Dion Lewis,TEN,RB,15,NYG,19,24,4600,10.5
32,Jordan Howard,CHI,RB,15,GB,15,16,3900,10.45
33,Jaylen Samuels,PIT,FB,15,NE,22,17,5200,10.38
34,Adrian Peterson,WAS,RB,15,JAX,5,9,4100,10.35
35,Tevin Coleman,ATL,RB,15,ARI,12,30,4200,10.34
36,Derrick Henry,TEN,RB,15,NYG,19,24,5000,9.96
37,Kerryon Johnson,DET,RB,15,BUF,3,22,5300,9.29
38,LeSean McCoy,BUF,RB,15,DET,17,23,4800,9.1
39,Jalen Richard,OAK,RB,15,CIN,32,32,3900,9.05
40,Frank Gore,MIA,RB,15,MIN,6,10,3400,8.81
41,Matt Breida,SF,RB,15,SEA,11,18,4700,8.4
42,Chris Thompson,WAS,RB,15,JAX,5,9,4400,8.26
43,Darren Sproles,PHI,RB,15,LAR,18,11,3600,8.11
44,Ito Smith,ATL,RB,15,ARI,12,30,3700,8.01
45,Nyheim Hines,IND,RB,15,DAL,4,4,3800,7.92
46,Kenneth Dixon,BAL,RB,15,TB,31,29,3500,7.79
47,Damien Williams,KC,RB,15,LAC,8,21,4100,7.68
48,Duke Johnson,CLE,RB,15,DEN,20,15,3600,7.52
49,Peyton Barber,TB,RB,15,BAL,2,3,3400,7.4
50,Giovani Bernard,CIN,RB,15,OAK,29,26,4000,7.29
51,TJ Yeldon,JAX,RB,15,WAS,16,14,4000,6.67
52,Latavius Murray,MIN,RB,15,MIA,27,25,3600,6.48
53,Rashaad Penny,SEA,RB,15,SF,24,19,4300,6.13
53,Rex Burkhead,NE,RB,15,PIT,13,8,3300,6.13
55,Mike Davis,SEA,RB,15,SF,24,19,3800,6.02
55,Trenton Cannon,NYJ,RB,15,HOU,9,7,3100,6.02
57,Chris Ivory,BUF,RB,15,DET,17,23,3600,6
58,Wendell Smallwood,PHI,RB,15,LAR,18,11,3000,5.89
59,Royce Freeman,DEN,RB,15,CLE,26,27,3500,5.79
60,Isaiah Crowell,NYJ,RB,15,HOU,9,7,3400,5.76
61,Ty Montgomery,BAL,RB,15,TB,31,29,3600,5.58
62,LeGarrette Blount,DET,RB,15,BUF,3,22,3800,5.07
63,Alfred Blue,HOU,RB,15,NYJ,21,19,3500,4.8
64,Chase Edmonds,ARI,RB,15,ATL,28,28,3800,3.99
65,Jamaal Williams,GB,RB,15,CHI,1,1,3500,3.71
66,Wayne Gallman,NYG,RB,15,TEN,7,5,3500,3.57
67,Kyle Juszczyk,SF,FB,15,SEA,11,18,3000,3.51
68,Zach Zenner,DET,RB,15,BUF,3,22,3500,3.38
69,Detrez Newsome,LAC,RB,15,KC,30,31,3000,3.28
70,Stevan Ridley,PIT,RB,15,NE,22,17,3500,2.77
71,Ronald Jones II,TB,RB,15,BAL,2,3,3200,2.65
72,Devontae Booker,DEN,RB,15,CLE,26,27,3200,2.63
73,Taquan Mizzell,CHI,RB,15,GB,15,16,3000,2.47
74,Alfred Morris,SF,RB,15,SEA,11,18,3200,2.45
75,Travaris Cadet,CAR,RB,15,NO,14,2,3000,2.16
76,Jacquizz Rodgers,TB,RB,15,BAL,2,3,3400,1.96
77,Rod Smith,DAL,RB,15,IND,10,12,4000,1.91
78,John Kelly,LAR,RB,15,PHI,25,13,4000,1.84
79,Carlos Hyde,JAX,RB,15,WAS,16,14,3200,1.74
80,D'Onta Foreman,HOU,RB,15,NYJ,21,19,3300,1.72
81,Kapri Bibbs,WAS,RB,15,JAX,5,9,3400,1.39
82,Charcandrick West,KC,RB,15,LAC,8,21,3000,1.36
83,Marcus Murphy,BUF,RB,15,DET,17,23,3400,1.31
84,CJ Anderson,OAK,RB,15,CIN,32,32,3000,1.19
84,Trey Edmunds,PIT,RB,15,NE,22,17,3000,1.19
86,James Develin,NE,RB,15,PIT,13,8,3000,1.18
87,Jordan Wilkins,IND,RB,15,DAL,4,4,3200,1.09
88,Patrick DiMarco,BUF,FB,15,DET,17,23,3000,1.07
