Name,DraftKingsSalary,FantasyPointsDraftKings,DPointsAllowed,OpponentPointsPerGame,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentTimesSackedPercentage,QuarterbackHitsPercentage,OpponentPassingAttempts,OpponentCompletionPercentage,OpponentPassingYards,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentPassingTouchdowns,OpponentPasserRating,Home,PointSpread,OverUnder,total,PointsPerGame,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownAttempts,ThirdDownPercentage,RedZoneAttempts,RedZonePercentage,TimesSackedPercentage,OpponentQuarterbackHitsPercentage,Team,Rank,CompletionsGame,AttemptsGame,PassingCompletionPercentage,YardsGame,PassingYardsPerAttempt,PassingTouchdownsGame,InterceptionsGame,PassingRating,RushingAttemptsGame,RushingYardsGame,RushingYardsPerAttempt,RushingTouchdownsGame,PointsGame,RZCompletionsGame,RZAttemptsGame,RZPassingCompletionPercentage,RZYardsGame,RZPassingYardsPerAttempt,RZPassingTouchdownsGame,RZInterceptionsGame,RZPassingRating,RZRushingAttemptsGame,RZRushingYardsGame,RZRushingYardsPerAttempt,RZRushingTouchdownsGame,RZPointsGame,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointSnapPercentageDraftKings,PLSProjections,RFProjections
Josh Rosen,4700.0,14.07,24.21,28.2,63.469209809264306,386.5013623978202,6.1,23.512806539509537,12.140599455040872,51.3,3.3809264305177114,72.7,5.6,11.4,457,69.1,255.41362397820163,7.3,10.5,2.074659400544959,102,False,8.5,44.0,17.75,13.7,55.41573033707864,242.52078651685392,4.4,14.931460674157302,12.160674157303369,31.0,1.693258426966292,68.2,8.2,19.6,ARI,32.0,15.818181818181818,28.545454545454547,55.4,173.63636363636363,6.1,0.9090909090909091,1.0909090909090908,68.3,1.5454545454545454,7.363636363636363,4.8,0.0,10.2,1.2727272727272727,3.0,42.4,10.545454545454545,3.5,0.5454545454545454,0.0,91.67,0.0,0.0,0.0,0.0,2.8,56.4,82.1,2.7,0.0,53.4,53.4,18.1,14.936514282477088,14.140933641700762
Matt Ryan,6100.0,20.39,15.87,25.2,67.2,350.9504587155963,5.2,21.96330275229358,13.023853211009174,37.3,3.236697247706422,61.9,8.4,17.0,425,68.0,211.23302752293577,6.4,9.5,1.310091743119266,93,True,-8.5,44.0,26.25,24.3,63.13386075949367,374.88132911392404,5.9,21.993037974683542,12.842088607594937,46.1,3.0759493670886076,65.0,6.9,18.2,ATL,3.0,27.23076923076923,38.61538461538461,70.5,313.53846153846155,8.1,2.1538461538461537,0.46153846153846156,108.29,1.9230769230769231,7.769230769230769,4.0,0.15384615384615385,24.0,3.0,4.538461538461538,66.1,24.384615384615383,5.4,1.4615384615384615,0.07692307692307693,112.08,0.3076923076923077,-0.5384615384615384,-1.8,0.15384615384615385,7.8,66.1,99.0,2.9,0.0,61.4,61.4,36.3,22.265003292683108,19.527757447271146
Matt Schaub,4000.0,0.08,15.87,25.2,67.2,350.9504587155963,5.2,21.96330275229358,13.023853211009174,37.3,3.236697247706422,61.9,8.4,17.0,425,68.0,211.23302752293577,6.4,9.5,1.310091743119266,93,True,-8.5,44.0,26.25,24.3,63.13386075949367,374.88132911392404,5.9,21.993037974683542,12.842088607594937,46.1,3.0759493670886076,65.0,6.9,18.2,ATL,56.0,2.5,3.5,71.4,10.0,2.9,0.0,0.0,74.11,0.5,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.2,10.0,10.0,90.0,90.0,11.0,11.172536984060194,4.1909503152859315
Lamar Jackson,5900.0,18.61,23.08,29.5,61.46475195822455,388.4295039164491,6.3,22.259791122715406,11.014360313315928,38.5,3.5430809399477807,82.6,7.2,17.5,441,72.8,268.88903394255874,7.9,10.9,2.2336814621409924,110,True,-8.0,47.0,27.5,24.7,71.40685358255452,369.7305295950156,5.2,23.39190031152648,14.466043613707164,46.8,3.616510903426791,63.8,5.1,11.1,BAL,33.0,4.538461538461538,7.769230769230769,58.4,52.84615384615385,6.8,0.3076923076923077,0.23076923076923078,79.93,7.3076923076923075,36.53846153846154,5.0,0.23076923076923078,8.2,0.5384615384615384,1.0769230769230769,50.0,3.923076923076923,3.6,0.23076923076923078,0.0,98.51,1.8461538461538463,6.230769230769231,3.4,0.23076923076923078,3.1,28.5,38.1,25.6,0.5,52.8,53.4,28.8,21.42816679960619,16.844404109589036
Joe Flacco,5300.0,2.44,23.08,29.5,61.46475195822455,388.4295039164491,6.3,22.259791122715406,11.014360313315928,38.5,3.5430809399477807,82.6,7.2,17.5,441,72.8,268.88903394255874,7.9,10.9,2.2336814621409924,110,True,-8.0,47.0,27.5,24.7,71.40685358255452,369.7305295950156,5.2,23.39190031152648,14.466043613707164,46.8,3.616510903426791,63.8,5.1,11.1,BAL,28.0,25.77777777777778,42.111111111111114,61.2,273.8888888888889,6.5,1.3333333333333333,0.6666666666666666,84.15,2.111111111111111,5.0,2.4,0.0,16.7,2.6666666666666665,5.111111111111111,52.2,16.555555555555557,3.2,1.1111111111111112,0.1111111111111111,89.58,0.3333333333333333,0.0,0.0,0.0,5.0,71.1,65.7,3.0,0.0,62.2,62.2,23.5,23.417749794462324,20.20406669928245
Robert Griffin III,4500.0,0.24,23.08,29.5,61.46475195822455,388.4295039164491,6.3,22.259791122715406,11.014360313315928,38.5,3.5430809399477807,82.6,7.2,17.5,441,72.8,268.88903394255874,7.9,10.9,2.2336814621409924,110,True,-8.0,47.0,27.5,24.7,71.40685358255452,369.7305295950156,5.2,23.39190031152648,14.466043613707164,46.8,3.616510903426791,63.8,5.1,11.1,BAL,57.0,0.6666666666666666,2.0,33.3,7.0,3.5,0.0,0.0,44.44,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.1,0.0,0.0,28.6,28.6,4.0,13.063022856484839,1.3693739023533535
Josh Allen,5800.0,20.33,19.07,24.5,58.67711598746081,348.1457680250783,5.9,20.736677115987458,11.136363636363635,39.3,3.072100313479624,60.0,8.4,15.3,402,67.2,233.09561128526644,7.5,11.2,1.9200626959247649,104,True,-2.5,38.5,20.5,15.5,63.61940298507463,292.726368159204,4.6,17.427860696517413,13.880597014925375,32.2,2.3134328358208958,56.7,8.8,20.0,BUF,27.0,13.222222222222221,25.22222222222222,52.4,158.77777777777777,6.3,0.5555555555555556,1.0,62.82,7.333333333333333,54.44444444444444,7.4,0.5555555555555556,17.0,0.8888888888888888,2.3333333333333335,38.1,4.777777777777778,2.0,0.2222222222222222,0.1111111111111111,58.23,1.6666666666666667,9.88888888888889,5.9,0.5555555555555556,5.5,58.7,65.0,12.5,0.2,55.5,55.7,29.0,20.82620071942636,18.769051261143723
Derek Anderson,4000.0,0.05,19.07,24.5,58.67711598746081,348.1457680250783,5.9,20.736677115987458,11.136363636363635,39.3,3.072100313479624,60.0,8.4,15.3,402,67.2,233.09561128526644,7.5,11.2,1.9200626959247649,104,True,-2.5,38.5,20.5,15.5,63.61940298507463,292.726368159204,4.6,17.427860696517413,13.880597014925375,32.2,2.3134328358208958,56.7,8.8,20.0,BUF,51.0,21.0,35.0,60.0,232.5,6.6,0.0,2.0,55.95,0.5,-0.5,-1.0,0.0,6.2,1.0,1.5,66.7,2.5,1.7,0.0,0.0,70.14,0.0,0.0,0.0,0.0,0.1,59.0,24.1,0.8,0.0,60.2,60.2,10.6,14.649354385975785,13.19559001956948
Matt Barkley,4400.0,0.05,19.07,24.5,58.67711598746081,348.1457680250783,5.9,20.736677115987458,11.136363636363635,39.3,3.072100313479624,60.0,8.4,15.3,402,67.2,233.09561128526644,7.5,11.2,1.9200626959247649,104,True,-2.5,38.5,20.5,15.5,63.61940298507463,292.726368159204,4.6,17.427860696517413,13.880597014925375,32.2,2.3134328358208958,56.7,8.8,20.0,BUF,50.0,15.0,25.0,60.0,232.0,9.3,2.0,0.0,117.42,3.0,-2.0,-0.7,0.0,17.1,4.0,7.0,57.1,33.0,4.7,2.0,0.0,108.93,1.0,0.0,0.0,0.0,9.3,73.0,19.7,4.1,0.0,38.4,38.4,23.4,15.741096850568871,15.278012122200474
Cam Newton,5900.0,22.1,23.46,21.8,60.23886925795053,349.33922261484105,5.8,20.721554770318022,11.40070671378092,39.9,3.1583038869257956,63.4,8.1,16.3,463,68.3,271.53710247349824,7.6,11.2,1.8487632508833924,98,True,6.5,52.0,22.75,24.9,61.635185185185186,377.72685185185185,6.1,22.210185185185185,10.989814814814814,39.9,3.765740740740741,65.3,5.3,12.5,CAR,6.0,23.384615384615383,34.0,68.8,251.07692307692307,7.4,1.8461538461538463,0.9230769230769231,96.96,7.384615384615385,36.38461538461539,4.9,0.3076923076923077,23.0,2.923076923076923,4.230769230769231,69.1,20.153846153846153,4.8,1.4615384615384615,0.07692307692307693,111.52,1.2307692307692308,4.153846153846154,3.4,0.3076923076923077,9.1,63.5,98.8,11.6,0.0,65.1,65.1,36.2,27.038046813516434,22.434466025222875
