Team,OpponentPointsPerGame,OpponentScore,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentRushingYards,OpponentRushingYardsPerAttempt,TacklesForLossPercentage,OpponentTimesSackedPercentage,QuarterbackHitsPercentage,OpponentPassingAttempts,OpponentCompletionPercentage,OpponentPassingYards,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentPassingTouchdowns,OpponentPasserRating,OpponentRushingTouchdowns
SF,26.6,373,892,4844,5.4,289,189,38.1,50,64,1569,4.2,21.7,6.6,16.6,484,62.4,3275,6.8,10.8,30,101,11
CHI,18.9,264,898,4352,4.8,251,194,34.5,36,52.8,1170,3.8,27.8,7.6,15.1,544,61.6,3182,5.8,9.5,21,71,5
CIN,29.5,413,952,5782,6.1,331,196,50.5,52,67.3,1993,4.8,15.3,6.2,14.2,501,65.9,3789,7.6,11.5,28,98,17
BUF,23.8,333,834,4091,4.9,256,179,38,44,72.7,1467,4,26.4,6.7,17,435,64.6,2624,6,9.3,20,85,15
DEN,21.4,299,910,5293,5.8,285,187,39,39,56.4,1683,4.6,20.9,7.8,16.6,499,64.1,3610,7.2,11.3,25,90,8
CLE,24.9,348,1003,5616,5.6,338,189,37.6,48,62.5,1765,4.5,22.2,5.2,13.3,583,62.8,3851,6.6,10.5,19,81,18
TB,28.8,403,872,5413,6.2,313,159,40.3,51,78.4,1794,4.8,21.8,7.2,17.6,464,72.2,3619,7.8,10.8,30,109,17
ARI,26.2,367,937,4989,5.3,308,182,37.4,46,60.9,2028,4.7,24.4,8.2,16.3,461,67.5,2961,6.4,9.5,19,93,20
LAC,21.3,298,847,4608,5.4,277,174,40.8,45,55.6,1452,4.3,20.3,6.6,15,478,64.4,3156,6.6,10.2,21,87,11
KC,27.1,380,969,5732,5.9,368,169,40.8,52,73.1,1777,5,20.7,7.5,15.3,570,63.9,3955,6.9,10.9,27,90,17
IND,21.4,300,888,4781,5.4,282,179,41.3,39,51.3,1450,3.9,26.5,7.3,14.5,480,71,3331,6.9,9.8,19,93,10
DAL,19.2,269,839,4444,5.3,262,173,42.8,40,50,1307,3.7,22.5,7.2,17.8,453,68.2,3137,6.9,10.2,19,94,9
MIA,26.7,374,902,5632,6.2,308,172,42.4,54,59.3,2033,4.8,15.5,5,12.4,458,65.7,3599,7.9,12,28,92,13
PHI,22.7,318,895,5399,6,275,183,37.7,53,43.4,1468,4.9,27.9,6.1,19.5,558,67.2,3931,7,10.5,20,93,12
ATL,27.2,381,891,5283,5.9,324,171,49.1,46,73.9,1766,4.9,15.9,6.5,12.3,493,68.8,3517,7.1,10.4,28,99,16
NYG,24.9,348,900,5121,5.7,296,178,38.8,50,52,1798,4.4,18.2,5.1,13.8,469,64.8,3323,7.1,10.9,18,85,16
JAX,20.6,289,853,4458,5.2,254,186,38.7,41,51.2,1674,4.4,19.6,6,16,442,61.5,2784,6.3,10.2,16,82,14
NYJ,25.6,359,918,5171,5.6,284,190,32.6,49,46.9,1763,4.5,19.5,6.4,18.8,494,61.9,3408,6.9,11.1,23,87,14
DET,23.8,333,828,4845,5.9,290,157,38.2,42,59.5,1615,4.5,16.9,8.2,14.8,428,66.1,3230,7.5,11.4,26,103,11
GB,23.6,331,888,4898,5.5,283,187,36.9,48,58.3,1741,4.5,17.8,8.2,14,459,63.4,3157,6.9,10.8,24,95,13
CAR,24.6,344,849,4930,5.8,282,163,39.9,42,71.4,1426,4.2,28.9,6.2,13.1,481,67.4,3504,7.3,10.8,28,98,12
NE,22.1,310,888,5218,5.9,296,172,40.7,43,62.8,1627,5,17.8,4.6,15.7,536,62.3,3591,6.7,10.8,28,87,7
OAK,29.9,418,857,5393,6.3,280,178,46.1,57,57.9,2050,4.8,11.4,2.8,10,416,62.5,3343,8,12.9,32,102,14
LAR,24.5,343,849,5083,6,285,166,39.2,45,60,1726,5,22,6.8,16.9,469,65.2,3357,7.2,11,27,92,11
BAL,18.1,253,861,4063,4.7,254,187,34.2,38,63.2,1226,3.8,24.7,7.3,17.3,498,58.4,2837,5.7,9.7,18,81,10
WAS,22.1,310,870,5003,5.8,285,171,42.7,45,51.1,1632,4.6,18.8,7.7,16.2,478,66.1,3371,7.1,10.7,23,90,11
NO,20.9,292,839,4782,5.7,282,163,40.5,42,61.9,1108,3.7,27.9,8.4,16.2,493,67.5,3674,7.5,11,25,96,10
SEA,20.9,292,831,5036,6.1,289,154,35.7,45,48.9,1572,4.9,21.7,7.1,17.7,472,66.5,3464,7.3,11,22,93,9
PIT,22.6,316,880,4669,5.3,284,173,36.4,44,56.8,1356,4.1,26.2,8.4,18.8,502,64.3,3313,6.6,10.3,26,95,10
HOU,20.1,281,902,4852,5.4,267,198,39.9,38,73.7,1236,3.6,23.6,7,15.5,516,64.9,3616,7,10.8,24,90,8
TEN,18.1,254,870,4606,5.3,257,178,34.8,38,42.1,1544,4.3,21.7,7,16,475,63.2,3062,6.4,10.2,17,86,8
MIN,22,308,861,4400,5.1,269,160,28.8,45,42.2,1560,4.1,23.4,9.8,17.7,434,63.1,2840,6.5,10.4,15,82,10
