TeamName,PointsPerGame,Score,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownConversions,ThirdDownAttempts,ThirdDownPercentage,RedZoneConversions,RedZoneAttempts,RedZonePercentage,Penalties,PenaltyYards,TimeOfPossession,TurnoverDifferential
Chiefs,35.6,499,882,5982,6.8,344,73,155,47.1,47,64,73.4,125,1026,30:43,8
Rams,32,448,922,5900,6.4,340,70,166,42.2,39,71,54.9,84,755,30:10,8
Buccaneers,24.6,344,924,5832,6.3,339,78,164,47.6,31,52,59.6,105,873,31:32,-16
Steelers,27.4,384,921,5681,6.2,334,77,170,45.3,33,43,76.7,96,877,31:44,-9
Patriots,26.7,374,936,5530,5.9,321,74,178,41.6,29,50,58,84,665,31:41,7
Chargers,28.2,395,833,5488,6.6,307,62,153,40.5,31,50,62,99,847,31:03,3
Saints,32.8,459,898,5403,6,336,72,162,44.4,42,62,67.7,79,754,32:30,8
Colts,26.6,372,934,5341,5.7,320,92,190,48.4,36,53,67.9,102,828,29:29,1
Falcons,25.4,356,886,5310,6,309,82,180,45.6,28,44,63.6,88,773,30:44,-1
Packers,23.7,332,891,5190,5.8,288,65,176,36.9,25,42,59.5,93,813,30:14,2
Ravens,24.4,341,1002,5175,5.2,328,97,204,47.5,32,52,61.5,102,835,33:37,-7
Panthers,23.8,333,859,5162,6,302,64,158,40.5,32,50,64,80,722,30:03,2
49ers,21.5,301,891,5099,5.7,307,63,168,37.5,18,43,41.9,101,896,30:26,-22
Texans,25.1,352,903,5089,5.6,285,68,181,37.6,26,52,50,93,711,31:47,10
Vikings,23.1,323,893,5025,5.6,282,68,180,37.8,24,44,54.5,78,671,30:07,0
Browns,22.1,309,901,4981,5.5,273,64,185,34.6,28,40,70,102,802,30:37,9
Eagles,22.2,311,893,4966,5.6,296,67,175,38.3,30,52,57.7,84,722,32:48,-4
Broncos,21.9,306,879,4932,5.6,282,59,179,33,23,40,57.5,103,795,29:42,9
Seahawks,25.9,363,876,4898,5.6,282,70,180,38.9,30,46,65.2,107,929,31:23,12
Giants,21.9,307,855,4864,5.7,255,62,179,34.6,21,45,46.7,97,849,29:44,3
Cowboys,19.7,276,902,4850,5.4,283,76,190,40,19,43,44.2,88,772,32:04,0
Bears,27.4,383,890,4845,5.4,294,69,175,39.4,31,48,64.6,82,664,32:49,13
Raiders,18.6,260,873,4814,5.5,264,64,174,36.8,22,41,53.7,100,893,31:50,-6
Lions,20.3,284,878,4611,5.3,283,64,178,36,23,45,51.1,84,763,31:00,-6
Bengals,24.1,337,846,4567,5.4,280,65,167,38.9,30,42,71.4,102,857,28:47,0
Jaguars,16.1,225,896,4469,5,252,84,204,41.2,14,30,46.7,103,947,30:17,-12
Titans,19.1,268,838,4449,5.3,258,76,185,41.1,23,43,53.5,71,642,31:42,-2
Redskins,18.9,265,864,4414,5.1,255,67,183,36.6,20,38,52.6,105,944,30:18,9
Dolphins,21.1,295,774,4230,5.5,224,51,165,30.9,14,28,50,94,848,28:11,9
Jets,20.9,292,859,4178,4.9,223,62,190,32.6,17,38,44.7,94,746,29:16,-8
Bills,15.4,215,889,4108,4.6,246,61,192,31.8,18,32,56.2,110,939,31:56,-8
Cardinals,13.7,192,785,3404,4.3,212,52,171,30.4,17,24,70.8,91,712,26:30,-12
