Name,DraftKingsSalary,FantasyPointsDraftKings,DPointsAllowed,OpponentPointsPerGame,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentTimesSackedPercentage,QuarterbackHitsPercentage,OpponentPassingAttempts,OpponentCompletionPercentage,OpponentPassingYards,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentPassingTouchdowns,OpponentPasserRating,Home,PointSpread,OverUnder,total,PointsPerGame,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownAttempts,ThirdDownPercentage,RedZoneAttempts,RedZonePercentage,PassingAttempts,CompletionPercentage,PassingYards,TeamPassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PasserRating,Rank,Team,TargetsGame,RecGame,RecPercentage,RecYardsGame,RecTdGame,YardsTarget,RecYardsRec,RushesGame,RushYardsGame,YardAttempt,RushTdGame,PointsGame,RZTargetsGame,RZRecGame,RZRecPercentage,RZRecYardsGame,RZRecTdGame,RZYardsTarget,RZRecYardsRec,RZRushesGame,RZRushYardsGame,RZYardAttempt,RZRushTdGame,RZPointsGame,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointSnapPercentageDraftKings,PLSProjections,RFProjections
Ricky Seals-Jones,2900.0,5.97,13.49,24.5,60.642857142857146,363.07142857142856,6.0,20.357142857142858,11.857142857142858,39.2,3.2142857142857144,60.0,6.8,16.9,469,65.2,239.78571428571428,7.2,11.0,1.9285714285714286,92,True,14.0,44.5,15.25,13.7,56.01302083333333,242.88958333333332,4.3,15.127083333333333,12.2015625,30.4,1.7125,70.8,30.682291666666664,57.4,160.61822916666665,5.2,9.1,0.9276041666666667,64,26.0,ARI,4.928571428571429,2.357142857142857,47.8,24.285714285714285,0.07142857142857142,4.9,10.3,0.0,0.0,0.0,0.0,5.2,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.1,64.7,0.0,12.9,6.2,12.9,13.7,8.886712606810178,6.0048430266378725
Jermaine Gresham,2500.0,2.28,13.49,24.5,60.642857142857146,363.07142857142856,6.0,20.357142857142858,11.857142857142858,39.2,3.2142857142857144,60.0,6.8,16.9,469,65.2,239.78571428571428,7.2,11.0,1.9285714285714286,92,True,14.0,44.5,15.25,13.7,56.01302083333333,242.88958333333332,4.3,15.127083333333333,12.2015625,30.4,1.7125,70.8,30.682291666666664,57.4,160.61822916666665,5.2,9.1,0.9276041666666667,64,74.0,ARI,1.0,0.75,75.0,7.833333333333333,0.0,7.8,10.4,0.0,0.0,0.0,0.0,1.4,0.25,0.08333333333333333,33.3,0.9166666666666666,0.0,3.7,11.0,0.0,0.0,0.0,0.0,0.2,30.8,51.0,0.0,3.2,2.4,3.2,4.7,3.373904631007708,2.379688556038963
John Phillips,2500.0,0.3,13.49,24.5,60.642857142857146,363.07142857142856,6.0,20.357142857142858,11.857142857142858,39.2,3.2142857142857144,60.0,6.8,16.9,469,65.2,239.78571428571428,7.2,11.0,1.9285714285714286,92,True,14.0,44.5,15.25,13.7,56.01302083333333,242.88958333333332,4.3,15.127083333333333,12.2015625,30.4,1.7125,70.8,30.682291666666664,57.4,160.61822916666665,5.2,9.1,0.9276041666666667,64,111.0,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,16.5,0.0,0.0,0.0,0.0,0.0,1.0836365030262378,1.0674364011179078
Darrell Daniels,2500.0,0.02,13.49,24.5,60.642857142857146,363.07142857142856,6.0,20.357142857142858,11.857142857142858,39.2,3.2142857142857144,60.0,6.8,16.9,469,65.2,239.78571428571428,7.2,11.0,1.9285714285714286,92,True,14.0,44.5,15.25,13.7,56.01302083333333,242.88958333333332,4.3,15.127083333333333,12.2015625,30.4,1.7125,70.8,30.682291666666664,57.4,160.61822916666665,5.2,9.1,0.9276041666666667,64,111.0,ARI,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.1,0.0,1.4,0.0,1.4,0.0,0.8624750879615206,1.2001295897785624
Austin Hooper,3700.0,9.61,15.61,24.6,60.71337209302326,352.5523255813954,5.8,20.166279069767445,11.65639534883721,39.9,3.0034883720930234,71.4,6.2,13.1,481,67.4,250.57674418604654,7.3,10.8,2.002325581395349,98,False,-3.5,43.5,23.5,25.4,63.214606741573036,378.85955056179773,6.0,22.046629213483147,12.842696629213483,45.6,3.1393258426966293,63.6,38.9561797752809,69.8,288.24719101123594,7.4,10.6,2.140449438202247,105,6.0,ATL,5.714285714285714,4.571428571428571,80.0,39.785714285714285,0.2857142857142857,7.0,8.7,0.0,0.0,0.0,0.0,10.4,0.9285714285714286,0.6428571428571429,69.2,3.5,0.2857142857142857,3.8,5.4,0.0,0.0,0.0,0.0,2.8,52.1,78.0,0.0,11.0,8.8,11.0,20.0,12.337149941907262,8.842525184659547
Eric Saubert,2500.0,1.66,15.61,24.6,60.71337209302326,352.5523255813954,5.8,20.166279069767445,11.65639534883721,39.9,3.0034883720930234,71.4,6.2,13.1,481,67.4,250.57674418604654,7.3,10.8,2.002325581395349,98,False,-3.5,43.5,23.5,25.4,63.214606741573036,378.85955056179773,6.0,22.046629213483147,12.842696629213483,45.6,3.1393258426966293,63.6,38.9561797752809,69.8,288.24719101123594,7.4,10.6,2.140449438202247,105,90.0,ATL,0.6428571428571429,0.35714285714285715,55.6,3.4285714285714284,0.0,5.3,9.6,0.0,0.0,0.0,0.0,0.7,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9,16.3,0.0,5.9,3.3,5.9,6.4,3.3428273445031538,1.7766906248565522
Logan Paulsen,2500.0,1.23,15.61,24.6,60.71337209302326,352.5523255813954,5.8,20.166279069767445,11.65639534883721,39.9,3.0034883720930234,71.4,6.2,13.1,481,67.4,250.57674418604654,7.3,10.8,2.002325581395349,98,False,-3.5,43.5,23.5,25.4,63.214606741573036,378.85955056179773,6.0,22.046629213483147,12.842696629213483,45.6,3.1393258426966293,63.6,38.9561797752809,69.8,288.24719101123594,7.4,10.6,2.140449438202247,105,69.0,ATL,0.6153846153846154,0.6153846153846154,100.0,5.538461538461538,0.07692307692307693,9.0,9.0,0.0,0.0,0.0,0.0,1.6,0.15384615384615385,0.15384615384615385,100.0,1.6923076923076923,0.07692307692307693,11.0,11.0,0.0,0.0,0.0,0.0,0.8,23.7,32.9,0.0,2.6,2.6,2.6,6.9,3.2501092422535507,2.1979083136511623
Mark Andrews,3200.0,4.29,10.75,21.3,60.540604026845635,329.36375838926176,5.4,19.798993288590605,12.436912751677852,40.8,3.216442953020134,55.6,6.6,15.0,478,64.4,225.57986577181208,6.6,10.2,1.501006711409396,87,False,4.5,43.0,19.25,24.4,71.69736070381231,370.29325513196477,5.2,23.469794721407624,14.59706744868035,47.5,3.7208211143695014,61.5,36.49266862170088,60.4,228.1865102639296,6.3,10.4,1.2164222873900292,82,20.0,BAL,3.0714285714285716,2.0,65.1,29.642857142857142,0.14285714285714285,9.7,14.8,0.0,0.0,0.0,0.0,5.8,0.5,0.21428571428571427,42.9,1.2142857142857142,0.14285714285714285,2.4,5.7,0.0,0.0,0.0,0.0,1.2,26.2,34.9,0.0,11.7,7.6,11.7,22.2,6.810213806644065,4.576785548814157
Hayden Hurst,2500.0,2.64,10.75,21.3,60.540604026845635,329.36375838926176,5.4,19.798993288590605,12.436912751677852,40.8,3.216442953020134,55.6,6.6,15.0,478,64.4,225.57986577181208,6.6,10.2,1.501006711409396,87,False,4.5,43.0,19.25,24.4,71.69736070381231,370.29325513196477,5.2,23.469794721407624,14.59706744868035,47.5,3.7208211143695014,61.5,36.49266862170088,60.4,228.1865102639296,6.3,10.4,1.2164222873900292,82,64.0,BAL,1.7,1.0,58.8,10.2,0.1,6.0,10.2,0.1,0.0,0.0,0.0,2.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7,32.2,0.4,7.2,4.6,7.6,11.1,4.896621111315202,2.697146033246455
Nick Boyle,2500.0,2.31,10.75,21.3,60.540604026845635,329.36375838926176,5.4,19.798993288590605,12.436912751677852,40.8,3.216442953020134,55.6,6.6,15.0,478,64.4,225.57986577181208,6.6,10.2,1.501006711409396,87,False,4.5,43.0,19.25,24.4,71.69736070381231,370.29325513196477,5.2,23.469794721407624,14.59706744868035,47.5,3.7208211143695014,61.5,36.49266862170088,60.4,228.1865102639296,6.3,10.4,1.2164222873900292,82,43.0,BAL,2.5,1.5,60.0,14.142857142857142,0.0,5.7,9.4,0.0,0.0,0.0,0.0,2.9,0.5,0.14285714285714285,28.6,0.42857142857142855,0.0,0.9,3.0,0.0,0.0,0.0,0.0,0.2,41.1,54.8,0.0,6.1,3.6,6.1,7.1,6.219958013701111,3.3333735022899638
Maxx Williams,2600.0,1.94,10.75,21.3,60.540604026845635,329.36375838926176,5.4,19.798993288590605,12.436912751677852,40.8,3.216442953020134,55.6,6.6,15.0,478,64.4,225.57986577181208,6.6,10.2,1.501006711409396,87,False,4.5,43.0,19.25,24.4,71.69736070381231,370.29325513196477,5.2,23.469794721407624,14.59706744868035,47.5,3.7208211143695014,61.5,36.49266862170088,60.4,228.1865102639296,6.3,10.4,1.2164222873900292,82,50.0,BAL,1.5454545454545454,1.4545454545454546,94.1,13.0,0.09090909090909091,8.4,8.9,0.18181818181818182,0.7272727272727273,4.0,0.0,3.4,0.45454545454545453,0.36363636363636365,80.0,2.0,0.09090909090909091,4.4,5.5,0.0,0.0,0.0,0.0,1.1,29.5,30.9,0.6,5.2,5.5,5.8,11.4,5.1298712990107385,3.334459620346056
Charles Clay,2500.0,4.14,13.94,22.1,63.3058064516129,371.99290322580646,5.9,21.101935483870967,12.261935483870968,40.7,3.065483870967742,62.8,4.6,15.7,536,62.3,256.00354838709677,6.7,10.8,1.9961290322580645,87,False,13.0,45.0,16.0,15.4,63.677209302325586,294.24744186046513,4.6,17.62046511627907,13.752558139534884,31.8,2.292093023255814,56.2,30.94325581395349,54.2,169.18511627906977,5.5,10.1,0.6446511627906977,58,47.0,BUF,3.0,1.75,58.3,15.333333333333334,0.0,5.1,8.8,0.0,0.0,0.0,0.0,3.2,0.25,0.08333333333333333,33.3,0.4166666666666667,0.0,1.7,5.0,0.0,0.0,0.0,0.0,0.1,39.6,50.7,0.0,7.6,4.4,7.6,8.1,5.999436298173005,3.90300764065279
