Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Zach Ertz,PHI,TE,16,HOU,16,12,75,110,2,23,6.9,9.2,0,0,0,0,1,0,38,38
2,Kyle Rudolph,MIN,TE,16,DET,9,9,100,122,2,44,13.6,13.6,0,0,0,0,0,0,36.2,36.2
3,Chris Herndon IV,NYJ,TE,16,GB,7,6,85.7,82,1,26,11.7,13.7,0,0,0,0,1,0,20.2,20.2
4,Evan Engram,NYG,TE,16,IND,6,6,100,87,0,32,14.5,14.5,2,26,13,0,0,0,17.3,17.3
5,Mark Andrews,BAL,TE,16,LAC,2,2,100,83,1,68,41.5,41.5,0,0,0,0,0,0,16.3,16.3
5,David Njoku,CLE,TE,16,CIN,4,3,75,73,1,66,18.2,24.3,0,0,0,0,0,0,16.3,16.3
7,CJ Uzomah,CIN,TE,16,CLE,5,4,80,49,1,14,9.8,12.2,0,0,0,0,0,0,14.9,14.9
8,Ian Thomas,CAR,TE,16,ATL,5,4,80,48,1,27,9.6,12,0,0,0,0,0,0,14.8,14.8
9,George Kittle,SF,TE,16,CHI,12,7,58.3,74,0,35,6.2,10.6,0,0,0,0,0,0,14.4,14.4
10,MyCole Pruitt,TEN,TE,16,WAS,3,2,66.7,29,1,27,9.7,14.5,0,0,0,0,0,0,10.9,10.9
10,Ed Dickson,SEA,TE,16,KC,3,3,100,19,1,18,6.3,6.3,0,0,0,0,0,0,10.9,10.9
12,Darren Fells,CLE,TE,16,CIN,3,3,100,18,1,9,6,6,0,0,0,0,0,0,10.8,10.8
13,Scott Simonson,NYG,TE,16,IND,3,3,100,16,1,8,5.3,5.3,0,0,0,0,0,0,10.6,10.6
14,Travis Kelce,KC,TE,16,SEA,9,5,55.6,54,0,23,6,10.8,0,0,0,0,0,0,10.4,10.4
15,Gerald Everett,LAR,TE,16,ARI,6,5,83.3,28,0,9,4.7,5.6,2,16,8,0,0,0,9.4,9.4
16,Nick Vannett,SEA,TE,16,KC,2,2,100,11,1,10,5.5,5.5,0,0,0,0,0,0,9.1,9.1
17,Jason Croom,BUF,TE,16,NE,6,4,66.7,55,0,24,9.2,13.8,0,0,0,0,1,1,8.5,8.5
18,Trey Burton,CHI,TE,16,SF,5,5,100,30,0,8,6,6,0,0,0,0,0,0,8,8
19,Jimmy Graham,GB,TE,16,NYJ,4,3,75,34,0,16,8.5,11.3,0,0,0,0,0,0,6.4,6.4
20,Dallas Goedert,PHI,TE,16,HOU,3,3,100,30,0,24,10,10,0,0,0,0,0,0,6,6
21,Vance McDonald,PIT,TE,16,NO,4,1,25,49,0,49,12.2,49,0,0,0,0,0,0,5.9,5.9
22,Eric Ebron,IND,TE,16,NYG,5,3,60,28,0,14,5.6,9.3,0,0,0,0,0,0,5.8,5.8
23,Austin Hooper,ATL,TE,16,CAR,2,2,100,36,0,32,18,18,0,0,0,0,0,0,5.6,5.6
24,Jordan Akins,HOU,TE,16,PHI,3,2,66.7,33,0,22,11,16.5,0,0,0,0,0,0,5.3,5.3
25,Lance Kendricks,GB,TE,16,NYJ,2,2,100,26,0,20,13,13,0,0,0,0,0,0,4.6,4.6
26,Jeremy Sprinkle,WAS,TE,16,TEN,3,2,66.7,22,0,15,7.3,11,0,0,0,0,0,0,4.2,4.2
27,Antonio Gates,LAC,TE,16,BAL,5,3,60,21,0,11,4.2,7,0,0,0,0,1,1,4.1,4.1
28,Jared Cook,OAK,TE,16,DEN,3,2,66.7,20,0,14,6.7,10,0,0,0,0,0,0,4,4
29,Rhett Ellison,NYG,TE,16,IND,2,2,100,18,0,16,9,9,0,0,0,0,0,0,3.8,3.8
30,Anthony Firkser,TEN,TE,16,WAS,3,2,66.7,16,0,12,5.3,8,0,0,0,0,0,0,3.6,3.6
31,Ryan Griffin,HOU,TE,16,PHI,4,2,50,15,0,10,3.8,7.5,0,0,0,0,0,0,3.5,3.5
31,Nick Boyle,BAL,TE,16,LAC,2,2,100,15,0,8,7.5,7.5,0,0,0,0,0,0,3.5,3.5
33,Virgil Green,LAC,TE,16,BAL,2,2,100,12,0,9,6,6,0,0,0,0,0,0,3.2,3.2
34,Brian Parker,DEN,TE,16,OAK,3,2,66.7,10,0,11,3.3,5,0,0,0,0,0,0,3,3
35,Hayden Hurst,BAL,TE,16,LAC,2,1,50,18,0,18,9,18,0,0,0,0,0,0,2.8,2.8
35,Ben Braunecker,CHI,TE,16,SF,1,1,100,18,0,18,18,18,0,0,0,0,0,0,2.8,2.8
35,Cameron Brate,TB,TE,16,DAL,3,2,66.7,8,0,4,2.7,4,0,0,0,0,0,0,2.8,2.8
35,Blake Jarwin,DAL,TE,16,TB,3,2,66.7,8,0,5,2.7,4,0,0,0,0,0,0,2.8,2.8
39,Levine Toilolo,DET,TE,16,MIN,1,1,100,16,0,16,16,16,0,0,0,0,0,0,2.6,2.6
39,Tyler Higbee,LAR,TE,16,ARI,1,1,100,16,0,16,16,16,0,0,0,0,0,0,2.6,2.6
41,Robert Tonyan Jr.,GB,TE,16,NYJ,1,1,100,11,0,11,11,11,0,0,0,0,0,0,2.1,2.1
41,Josh Hill,NO,TE,16,PIT,3,2,66.7,1,0,5,0.3,0.5,0,0,0,0,0,0,2.1,2.1
43,Durham Smythe,MIA,TE,16,JAX,2,1,50,9,0,9,4.5,9,0,0,0,0,0,0,1.9,1.9
43,Jordan Leggett,NYJ,TE,16,GB,1,1,100,9,0,9,9,9,0,0,0,0,0,0,1.9,1.9
43,John Phillips,ARI,TE,16,LAR,1,1,100,9,0,9,9,9,0,0,0,0,0,0,1.9,1.9
46,Richard Rodgers,PHI,TE,16,HOU,1,1,100,7,0,7,7,7,0,0,0,0,0,0,1.7,1.7
47,Benjamin Watson,NO,TE,16,PIT,2,1,50,6,0,6,3,6,0,0,0,0,0,0,1.6,1.6
48,Mike Gesicki,MIA,TE,16,JAX,1,1,100,5,0,5,5,5,0,0,0,0,0,0,1.5,1.5
49,Adam Shaheen,CHI,TE,16,SF,2,1,50,4,0,4,2,4,0,0,0,0,0,0,1.4,1.4
50,Ricky Seals-Jones,ARI,TE,16,LAR,1,1,100,3,0,3,3,3,0,0,0,0,0,0,1.3,1.3
51,Seth DeValve,CLE,TE,16,CIN,1,1,100,1,0,1,1,1,0,0,0,0,0,0,1.1,1.1
52,Rico Gathers,DAL,TE,16,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Antony Auclair,TB,TE,16,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Dalton Schultz,DAL,TE,16,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Donnie Ernsberger,TB,TE,16,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Jerome Cunningham,DET,TE,16,MIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Luke Willson,DET,TE,16,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,David Morgan,MIN,TE,16,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Tyler Conklin,MIN,TE,16,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Luke Stocker,TEN,TE,16,WAS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Ryan Hewitt,IND,TE,16,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Mo Alie-Cox,IND,TE,16,NYG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Blake Bell,JAX,TE,16,MIA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,James O'Shaughnessy,JAX,TE,16,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Nick O'Leary,MIA,TE,16,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Ben Koyack,JAX,TE,16,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Nick Deluca,JAX,TE,16,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Rob Gronkowski,NE,TE,16,BUF,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Dwayne Allen,NE,TE,16,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Logan Thomas,BUF,TE,16,NE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Jacob Hollister,NE,TE,16,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Marcedes Lewis,GB,TE,16,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Eric Tomlinson,NYJ,TE,16,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Jordan Thomas,HOU,TE,16,PHI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Logan Paulsen,ATL,TE,16,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Chris Manhertz,CAR,TE,16,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Eric Saubert,ATL,TE,16,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Jermaine Gresham,ARI,TE,16,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Johnny Mundt,LAR,TE,16,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,James Hurst,BAL,TE,16,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Maxx Williams,BAL,TE,16,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Garrett Celek,SF,TE,16,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Ross Dwelley,SF,TE,16,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Xavier Grimble,PIT,TE,16,NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Jesse James,PIT,TE,16,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Demetrius Harris,KC,TE,16,SEA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Lee Smith,OAK,TE,16,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Derek Carrier,OAK,TE,16,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Temarrick Hemingway,DEN,TE,16,OAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
