Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Trey Burton,CHI,TE,7,NE,11,9,81.8,126,1,22,11.5,14,0,0,0,0,0,0,30.6,30.6
2,Zach Ertz,PHI,TE,7,CAR,11,9,81.8,138,0,27,12.5,15.3,0,0,0,0,0,0,25.8,25.8
3,George Kittle,SF,TE,7,LAR,8,5,62.5,98,1,35,12.2,19.6,0,0,0,0,0,0,20.8,20.8
4,Michael Roberts,DET,TE,7,MIA,3,3,100,48,2,29,16,16,0,0,0,0,0,0,19.8,19.8
5,Benjamin Watson,NO,TE,7,BAL,6,6,100,43,1,15,7.2,7.2,0,0,0,0,0,0,16.3,16.3
6,David Njoku,CLE,TE,7,TB,6,4,66.7,52,1,23,8.7,13,0,0,0,0,0,0,15.2,15.2
7,Travis Kelce,KC,TE,7,CIN,5,5,100,95,0,43,19,19,0,0,0,0,0,0,14.5,14.5
8,Dallas Goedert,PHI,TE,7,CAR,5,4,80,43,1,21,8.6,10.8,0,0,0,0,0,0,14.3,14.3
9,Chris Herndon IV,NYJ,TE,7,MIN,7,4,57.1,42,1,17,6,10.5,0,0,0,0,0,0,14.2,14.2
10,OJ Howard,TB,TE,7,CLE,9,5,55.6,67,0,24,7.4,13.4,0,0,0,0,0,0,11.7,11.7
11,CJ Uzomah,CIN,TE,7,KC,2,2,100,13,1,9,6.5,6.5,0,0,0,0,0,0,9.3,9.3
12,Luke Stocker,TEN,TE,7,LAC,2,2,100,11,1,10,5.5,5.5,0,0,0,0,0,0,9.1,9.1
13,Erik Swoope,IND,TE,7,BUF,1,1,100,17,1,17,17,17,0,0,0,0,0,0,8.7,8.7
13,Demetrius Harris,KC,TE,7,CIN,2,1,50,17,1,17,8.5,17,0,0,0,0,0,0,8.7,8.7
15,Greg Olsen,CAR,TE,7,PHI,5,2,40,5,1,4,1,2.5,0,0,0,0,0,0,8.5,8.5
16,Mark Andrews,BAL,TE,7,NO,1,1,100,8,1,8,8,8,0,0,0,0,0,0,7.8,7.8
16,Austin Hooper,ATL,TE,7,NYG,4,3,75,48,0,36,12,16,0,0,0,0,0,0,7.8,7.8
18,Mike Gesicki,MIA,TE,7,DET,3,3,100,44,0,27,14.7,14.7,0,0,0,0,0,0,7.4,7.4
19,Jordan Reed,WAS,TE,7,DAL,4,2,50,43,0,27,10.8,21.5,0,0,0,0,0,0,6.3,6.3
20,Eric Ebron,IND,TE,7,BUF,7,3,42.9,31,0,14,4.4,10.3,0,0,0,0,0,0,6.1,6.1
21,Geoff Swaim,DAL,TE,7,WAS,3,3,100,25,0,17,8.3,8.3,0,0,0,0,0,0,5.5,5.5
22,Evan Engram,NYG,TE,7,ATL,4,2,50,16,0,9,4,8,1,10,10,0,0,0,4.6,4.6
23,Antony Auclair,TB,TE,7,CLE,3,3,100,15,0,6,5,5,0,0,0,0,0,0,4.5,4.5
24,Nick O'Leary,MIA,TE,7,DET,3,2,66.7,23,0,14,7.7,11.5,0,0,0,0,0,0,4.3,4.3
24,Cameron Brate,TB,TE,7,CLE,4,3,75,23,0,11,5.8,7.7,0,0,0,0,1,1,4.3,4.3
26,David Grinnage,JAX,TE,7,HOU,2,2,100,17,0,11,8.5,8.5,0,0,0,0,0,0,3.7,3.7
27,Charles Clay,BUF,TE,7,IND,5,3,60,14,0,11,2.8,4.7,0,0,0,0,1,1,3.4,3.4
28,Ricky Seals-Jones,ARI,TE,7,DEN,4,2,50,12,0,7,3,6,0,0,0,0,0,0,3.2,3.2
29,Antonio Gates,LAC,TE,7,TEN,3,2,66.7,11,0,7,3.7,5.5,0,0,0,0,0,0,3.1,3.1
29,Jonnu Smith,TEN,TE,7,LAC,3,2,66.7,11,0,8,3.7,5.5,0,0,0,0,0,0,3.1,3.1
29,Rhett Ellison,NYG,TE,7,ATL,2,2,100,11,0,7,5.5,5.5,0,0,0,0,0,0,3.1,3.1
32,Luke Willson,DET,TE,7,MIA,2,2,100,8,0,5,4,4,0,0,0,0,0,0,2.8,2.8
33,Kyle Rudolph,MIN,TE,7,NYJ,4,1,25,16,0,16,4,16,0,0,0,0,0,0,2.6,2.6
33,Blake Jarwin,DAL,TE,7,WAS,1,1,100,16,0,16,16,16,0,0,0,0,0,0,2.6,2.6
35,Matt LaCosse,DEN,TE,7,ARI,1,1,100,12,0,12,12,12,0,0,0,0,0,0,2.2,2.2
35,Dalton Schultz,DAL,TE,7,WAS,3,1,33.3,12,0,12,4,12,0,0,0,0,0,0,2.2,2.2
37,Jason Croom,BUF,TE,7,IND,2,1,50,8,0,8,4,8,0,0,0,0,0,0,1.8,1.8
37,Nick Boyle,BAL,TE,7,NO,2,1,50,8,0,8,4,8,0,0,0,0,0,0,1.8,1.8
37,Eric Saubert,ATL,TE,7,NYG,1,1,100,8,0,8,8,8,0,0,0,0,0,0,1.8,1.8
40,Mo Alie-Cox,IND,TE,7,BUF,1,1,100,7,0,7,7,7,0,0,0,0,0,0,1.7,1.7
41,Eric Tomlinson,NYJ,TE,7,MIN,2,1,50,-5,0,-5,-2.5,-5,0,0,0,0,0,0,0.5,0.5
41,Gerald Everett,LAR,TE,7,SF,2,1,50,-5,0,-5,-2.5,-5,0,0,0,0,0,0,0.5,0.5
43,Maxx Williams,BAL,TE,7,NO,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.1,0.1
44,Jermaine Gresham,ARI,TE,7,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Jeff Heuerman,DEN,TE,7,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Brian Parker,DEN,TE,7,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Gabe Holmes,ARI,TE,7,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Virgil Green,LAC,TE,7,TEN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,MyCole Pruitt,TEN,TE,7,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Sean Culkin,LAC,TE,7,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Dwayne Allen,NE,TE,7,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Dion Sims,CHI,TE,7,NE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Ben Braunecker,CHI,TE,7,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Ryan Hewitt,IND,TE,7,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Logan Thomas,BUF,TE,7,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Mason Schreck,CIN,TE,7,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Matt Lengel,CIN,TE,7,KC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Levine Toilolo,DET,TE,7,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Durham Smythe,MIA,TE,7,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,David Morgan,MIN,TE,7,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Jordan Leggett,NYJ,TE,7,MIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Tyler Conklin,MIN,TE,7,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Chris Manhertz,CAR,TE,7,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Joshua Perkins,PHI,TE,7,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Ian Thomas,CAR,TE,7,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Orson Charles,CLE,TE,7,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Darren Fells,CLE,TE,7,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Seth DeValve,CLE,TE,7,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Blake Bell,JAX,TE,7,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Jordan Akins,HOU,TE,7,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Jordan Thomas,HOU,TE,7,JAX,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Josh Hill,NO,TE,7,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Hayden Hurst,BAL,TE,7,NO,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Vernon Davis,WAS,TE,7,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Rico Gathers,DAL,TE,7,WAS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Jeremy Sprinkle,WAS,TE,7,DAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Garrett Celek,SF,TE,7,LAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Tyler Higbee,LAR,TE,7,SF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Johnny Mundt,LAR,TE,7,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Ross Dwelley,SF,TE,7,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Logan Paulsen,ATL,TE,7,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Scott Simonson,NYG,TE,7,ATL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
