Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Odell Beckham Jr,NYG,WR,7,ATL,11,8,72.7,143,1,51,13,17.9,1,-1,-1,0,0,0,31.2,31.2
2,Emmanuel Sanders,DEN,WR,7,ARI,7,6,85.7,102,1,64,14.6,17,0,0,0,0,0,0,30.3,30.32
3,John Brown,BAL,WR,7,NO,7,7,100,134,1,56,19.1,19.1,0,0,0,0,0,0,29.4,29.4
4,Adam Thielen,MIN,WR,7,NYJ,10,9,90,110,1,34,11,12.2,0,0,0,0,0,0,29,29
5,Jarvis Landry,CLE,WR,7,TB,15,10,66.7,97,1,20,6.5,9.7,0,0,0,0,0,0,25.7,25.7
6,Tyrell Williams,LAC,WR,7,TEN,4,4,100,118,1,75,29.5,29.5,0,0,0,0,0,0,24.8,24.8
7,Sterling Shepard,NYG,WR,7,ATL,8,5,62.5,167,0,58,20.9,33.4,0,0,0,0,0,0,24.7,24.7
8,Alshon Jeffery,PHI,WR,7,CAR,10,7,70,88,1,29,8.8,12.6,0,0,0,0,0,0,21.8,21.8
9,AJ Green,CIN,WR,7,KC,14,7,50,117,0,31,8.4,16.7,0,0,0,0,0,0,21.7,21.7
10,Julio Jones,ATL,WR,7,NYG,12,9,75,104,0,19,8.7,11.6,0,0,0,0,1,1,21.4,21.4
11,Mike Evans,TB,WR,7,CLE,11,7,63.6,107,0,29,9.7,15.3,0,0,0,0,0,0,20.7,20.7
12,Tyreek Hill,KC,WR,7,CIN,10,7,70,68,1,27,6.8,9.7,2,8,4,0,0,0,20.6,20.6
13,Danny Amendola,MIA,WR,7,DET,7,6,85.7,84,1,24,12,14,0,0,0,0,0,0,20.4,20.4
14,Tajae Sharpe,TEN,WR,7,LAC,9,7,77.8,101,0,19,11.2,14.4,0,0,0,0,0,0,20.1,20.1
15,Michael Thomas,NO,WR,7,BAL,9,7,77.8,69,1,32,7.7,9.9,0,0,0,0,0,0,19.9,19.9
