Rank,Name,Team,Position,Played,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Patrick Mahomes,KC,QB,7,163,251,64.9,2223,8.9,22,5,114.02,28,120,4.3,2,30.6,213.92
2,Matt Ryan,ATL,QB,7,187,263,71.1,2335,8.9,15,2,114.17,16,67,4.2,2,26.4,185.1
3,Andrew Luck,IND,QB,7,203,311,65.3,1948,6.3,20,8,93.29,14,65,4.6,0,24.2,169.42
4,Kirk Cousins,MIN,QB,7,210,300,70,2162,7.2,14,3,101.83,23,75,3.3,1,23.1,161.88
5,Philip Rivers,LAC,QB,7,152,220,69.1,2008,9.1,17,3,117.77,11,-1,-0.1,0,22.6,158.22
6,Jared Goff,LAR,QB,7,152,218,69.7,2130,9.8,14,5,112.75,20,55,2.8,0,22.2,155.7
7,Mitch Trubisky,CHI,QB,6,139,211,65.9,1594,7.6,13,6,97.15,31,245,7.9,2,25.5,153.26
8,Drew Brees,NO,QB,6,170,220,77.3,1870,8.5,13,0,121.59,14,9,0.6,2,25.3,151.8
9,Tom Brady,NE,QB,7,170,250,68,1876,7.5,16,7,99.68,12,21,1.8,2,21.4,150.14
10,Ben Roethlisberger,PIT,QB,6,170,261,65.1,2033,7.8,12,6,94.56,13,38,2.9,1,25,150.02
11,Deshaun Watson,HOU,QB,7,152,241,63.1,1937,8,10,7,89.86,43,216,5,1,21.2,148.08
12,Cam Newton,CAR,QB,6,137,209,65.6,1427,6.8,11,4,94.73,52,257,4.9,3,24.6,147.78
13,Aaron Rodgers,GB,QB,6,156,254,61.4,1997,7.9,12,1,100.13,17,111,6.5,0,23.8,142.98
14,Andy Dalton,CIN,QB,7,164,258,63.6,1822,7.1,15,8,90.94,8,31,3.9,0,19.1,133.98
15,Blake Bortles,JAX,QB,7,151,249,60.6,1735,7,9,8,80.31,32,218,6.8,1,18.7,131.2
16,Joe Flacco,BAL,QB,7,187,303,61.7,2067,6.8,11,4,88.54,17,31,1.8,0,18.7,130.78
17,Dak Prescott,DAL,QB,7,128,206,62.1,1417,6.9,8,4,87.38,40,236,5.9,2,17,119.28
18,Eli Manning,NYG,QB,7,185,268,69,2061,7.7,7,4,94.14,11,19,1.7,0,16.6,116.34
19,Matthew Stafford,DET,QB,6,144,213,67.6,1602,7.5,12,5,98.76,10,37,3.7,0,19.3,115.78
20,Case Keenum,DEN,QB,7,161,254,63.4,1848,7.3,8,9,80.95,8,26,3.2,1,16.4,114.52
21,Ryan Fitzpatrick,TB,QB,4,87,129,67.4,1356,10.5,11,5,114.36,18,62,3.4,1,28.6,114.44
22,Carson Wentz,PHI,QB,5,138,195,70.8,1502,7.7,10,1,108.11,15,61,4.1,0,22,110.18
23,Russell Wilson,SEA,QB,6,106,165,64.2,1308,7.9,13,4,104.81,17,62,3.6,0,17.6,105.52
24,Sam Darnold,NYJ,QB,7,124,221,56.1,1552,7,10,10,74.33,25,39,1.6,1,14.9,103.98
25,Derek Carr,OAK,QB,6,167,233,71.7,1783,7.7,7,8,89.4,11,36,3.3,0,17.3,103.92
26,Alex Smith,WAS,QB,6,124,196,63.3,1383,7.1,7,2,91.86,31,84,2.7,1,15.8,94.72
27,Baker Mayfield,CLE,QB,5,108,187,57.8,1291,6.9,6,5,78.53,14,82,5.9,0,16.8,83.84
28,Marcus Mariota,TEN,QB,6,99,150,66,1030,6.9,3,5,78.47,31,185,6,1,12.6,75.7
29,CJ Beathard,SF,QB,5,88,141,62.4,1062,7.5,7,7,81.34,14,60,4.3,1,15.1,75.48
30,Ryan Tannehill,MIA,QB,5,85,129,65.9,972,7.5,8,5,92.91,19,91,4.8,0,14.4,71.98
31,Jameis Winston,TB,QB,3,78,113,69,905,8,5,6,85.6,16,91,5.7,1,23.4,70.3
32,Josh Allen,BUF,QB,6,75,139,54,832,6,2,5,61.8,35,155,4.4,3,11.5,68.78
33,Brock Osweiler,MIA,QB,3,54,80,67.5,654,8.2,6,2,106.98,4,17,4.2,0,18.3,54.86
34,Jimmy Garoppolo,SF,QB,3,53,89,59.6,718,8.1,5,3,90,8,33,4.1,0,17,51.02
35,Tyrod Taylor,CLE,QB,3,41,84,48.8,462,5.5,2,2,63.69,16,125,7.8,1,14.3,42.98
36,Josh Rosen,ARI,QB,5,71,129,55,820,6.4,3,5,66.04,7,36,5.1,0,8.3,41.4
37,Nick Foles,PHI,QB,2,54,82,65.9,451,5.5,1,1,78.86,4,7,1.8,0,13.1,26.24
38,Sam Bradford,ARI,QB,3,50,80,62.5,400,5,2,4,62.5,2,7,3.5,0,6.2,18.7
39,Taysom Hill,NO,QB,6,1,2,50,10,5,0,0,64.58,18,125,6.9,1,3.1,18.5
40,Lamar Jackson,BAL,QB,7,2,6,33.3,29,4.8,0,0,50,20,103,5.2,1,2.5,17.46
41,Blaine Gabbert,TEN,QB,3,25,45,55.6,242,5.4,1,1,68.94,2,2,1,0,4.3,12.88
