Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Eric Ebron,IND,TE,7,14,6,42.9,54,5,18,3.9,9,1,-1,-1,0,0,0,5.9,41.3
2,Trey Burton,CHI,TE,6,6,5,83.3,38,3,15,6.3,7.6,1,2,2,0,0,0,4.5,27
3,Jared Cook,OAK,TE,6,11,9,81.8,53,2,13,4.8,5.9,0,0,0,0,0,0,4.4,26.3
4,Erik Swoope,IND,TE,5,4,4,100,39,3,17,9.8,9.8,0,0,0,0,0,0,5.2,25.9
5,Cameron Brate,TB,TE,6,4,3,75,35,3,16,8.8,11.7,0,0,0,0,0,0,4.1,24.5
6,Michael Roberts,DET,TE,3,3,3,100,34,3,15,11.3,11.3,0,0,0,0,0,0,8.1,24.4
7,Zach Ertz,PHI,TE,7,13,6,46.2,45,2,10,3.5,7.5,0,0,0,0,0,0,3.2,22.5
8,Travis Kelce,KC,TE,7,10,5,50,45,2,19,4.5,9,0,0,0,0,0,0,3.1,21.5
9,Austin Hooper,ATL,TE,7,6,4,66.7,31,2,11,5.2,7.8,0,0,0,0,0,0,3,21.1
10,Kyle Rudolph,MIN,TE,7,4,3,75,23,2,11,5.8,7.7,0,0,0,0,0,0,2.5,17.3
11,Demetrius Harris,KC,TE,6,2,2,100,30,2,17,15,15,0,0,0,0,0,0,2.8,17
12,Dallas Goedert,PHI,TE,7,5,3,60,19,2,13,3.8,6.3,0,0,0,0,0,0,2.4,16.9
13,Mark Andrews,BAL,TE,7,4,3,75,17,2,8,4.2,5.7,0,0,0,0,0,0,2.4,16.7
14,Will Dissly,SEA,TE,4,2,2,100,17,2,15,8.5,8.5,0,0,0,0,0,0,3.9,15.7
15,David Njoku,CLE,TE,7,3,2,66.7,16,2,15,5.3,8,0,0,0,0,0,0,2.2,15.6
16,George Kittle,SF,TE,7,8,4,50,31,1,10,3.9,7.8,0,0,0,0,0,0,2.2,15.1
17,CJ Uzomah,CIN,TE,7,2,2,100,5,2,4,2.5,2.5,0,0,0,0,0,0,2.1,14.5
18,Rhett Ellison,NYG,TE,6,4,3,75,27,1,16,6.8,9,0,0,0,0,0,0,2.3,13.7
19,Chris Herndon IV,NYJ,TE,5,3,3,100,42,1,17,14,14,0,0,0,0,1,0,2.6,13.2
20,Virgil Green,LAC,TE,7,4,3,75,22,1,13,5.5,7.3,0,0,0,0,0,0,1.6,11.2
21,Jimmy Graham,GB,TE,6,5,3,60,20,1,13,4,6.7,0,0,0,0,0,0,1.8,11
22,OJ Howard,TB,TE,6,3,2,66.7,25,1,15,8.3,12.5,0,0,0,0,0,0,1.8,10.5
23,Benjamin Watson,NO,TE,6,5,3,60,14,1,7,2.8,4.7,0,0,0,0,0,0,1.7,10.4
24,Antonio Gates,LAC,TE,7,4,1,25,5,1,5,1.2,5,0,0,0,0,0,0,1.4,9.5
25,AJ Derby,MIA,TE,3,1,1,100,19,1,19,19,19,0,0,0,0,0,0,3,8.9
26,Evan Engram,NYG,TE,4,3,1,33.3,18,1,18,6,18,0,0,0,0,0,0,2.2,8.8
27,Logan Paulsen,ATL,TE,7,1,1,100,17,1,17,17,17,0,0,0,0,0,0,1.2,8.7
28,Tyler Eifert,CIN,TE,4,2,1,50,15,1,15,7.5,15,0,0,0,0,0,0,2.1,8.5
28,Lance Kendricks,GB,TE,6,2,2,100,5,1,4,2.5,2.5,0,0,0,0,0,0,1.4,8.5
30,Jordan Leggett,NYJ,TE,6,2,2,100,4,1,2,2,2,0,0,0,0,0,0,1.4,8.4
31,Garrett Celek,SF,TE,7,2,1,50,11,1,11,5.5,11,0,0,0,0,0,0,1.2,8.1
32,Nick O'Leary,MIA,TE,2,1,1,100,5,1,5,5,5,0,0,0,0,0,0,3.8,7.5
33,Jordan Reed,WAS,TE,6,3,1,33.3,4,1,4,1.3,4,0,0,0,0,0,0,1.2,7.4
33,Austin Seferian-Jenkins,JAX,TE,5,2,1,50,4,1,4,2,4,0,0,0,0,0,0,1.5,7.4
35,Tyler Higbee,LAR,TE,7,3,1,33.3,3,1,3,1,3,0,0,0,0,0,0,1,7.3
36,Greg Olsen,CAR,TE,3,1,1,100,1,1,1,1,1,0,0,0,0,0,0,2.4,7.1
36,Luke Stocker,TEN,TE,7,2,1,50,1,1,1,0.5,1,0,0,0,0,0,0,1,7.1
36,Josh Hill,NO,TE,6,1,1,100,1,1,1,1,1,0,0,0,0,0,0,1.2,7.1
36,Geoff Swaim,DAL,TE,7,2,1,50,1,1,1,0.5,1,0,0,0,0,0,0,1,7.1
