Name,DraftKingsSalary,DPointsAllowed,Home,PointSpread,OverUnder,total,Rank,Team,TargetsGame,RecGame,RecPercentage,RecYardsGame,RecTdGame,YardsTarget,RecYardsRec,RushesGame,RushYardsGame,YardAttempt,RushTdGame,PointsGame,RZTargetsGame,RZRecGame,RZRecPercentage,RZRecYardsGame,RZRecTdGame,RZYardsTarget,RZRecYardsRec,RZRushesGame,RZRushYardsGame,RZYardAttempt,RZRushTdGame,RZPointsGame,Projections
Trey Burton,4800,47.54,TRUE,-7.5,44.5,26,6,CHI,5.666666667,4,70.6,54.16666667,0.666666667,9.6,13.5,0.166666667,0.333333333,2,0,14,1,0.833333333,83.3,6.333333333,0.5,6.3,7.6,0.166666667,0.333333333,2,0,4.5,37.8872326
Jared Cook,5000,36.71,TRUE,3,50,23.5,5,OAK,7.166666667,5.333333333,74.4,66.66666667,0.333333333,9.3,12.5,0,0,0,0,15,1.833333333,1.5,81.8,8.833333333,0.333333333,4.8,5.9,0,0,0,0,4.4,15.00907381
David Njoku,4600,47.12,FALSE,8,51,21.5,9,CLE,7.428571429,4.428571429,59.6,42.42857143,0.285714286,5.7,9.6,0,0,0,0,10.4,0.428571429,0.285714286,66.7,2.285714286,0.285714286,5.3,8,0,0,0,0,2.2,14.66118192
George Kittle,5500,36.59,FALSE,1,43,21,4,SF,7,4.571428571,65.3,75.28571429,0.285714286,10.8,16.5,0,0,0,0,14.5,1.142857143,0.571428571,50,4.428571429,0.142857143,3.9,7.8,0,0,0,0,2.2,14.15868543
OJ Howard,3900,41.39,FALSE,4,54.5,25.25,12,TB,5,3.333333333,66.7,58.5,0.333333333,11.7,17.6,0,0,0,0,11.2,0.5,0.333333333,66.7,4.166666667,0.166666667,8.3,12.5,0,0,0,0,1.8,14.13479972
Jack Doyle,4400,41.96,FALSE,-3,50,26.5,56,IND,7.5,4.5,60,40,0,5.3,8.9,0,0,0,0,8,1.5,1,66.7,10.5,0,7,10.5,0,0,0,0,2,13.90289632
Tyler Eifert,2500,49.47,TRUE,-4,54.5,29.25,22,CIN,4.75,3.75,78.9,44.75,0.25,9.4,11.9,0,0,0,0,9.7,0.5,0.25,50,3.75,0.25,7.5,15,0,0,0,0,2.1,13.80030871
Travis Kelce,6800,35.7,TRUE,-10,53.5,31.75,2,KC,8.571428571,5.428571429,63.3,80.42857143,0.428571429,9.4,14.8,0,0,0,0,17.3,1.428571429,0.714285714,50,6.428571429,0.285714286,4.5,9,0,0,0,0,3.1,13.14408844
Jimmy Graham,4700,34.2,FALSE,9.5,56.5,23.5,10,GB,7.5,4.5,60,58.16666667,0.166666667,7.8,12.9,0,0,0,0,11.8,0.833333333,0.5,60,3.333333333,0.166666667,4,6.7,0,0,0,0,1.8,12.80444088
Seth DeValve,2500,47.12,FALSE,8,51,21.5,84,CLE,0.25,0.25,100,6.5,0,26,26,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,11.0745387
