Name,DraftKingsSalary,DPointsAllowed,Home,PointSpread,OverUnder,total,Rank,Team,TargetsGame,RecGame,RecPercentage,RecYardsGame,RecTdGame,YardsTarget,RecYardsRec,RushesGame,RushYardsGame,YardAttempt,RushTdGame,PointsGame,RZTargetsGame,RZRecGame,RZRecPercentage,RZRecYardsGame,RZRecTdGame,RZYardsTarget,RZRecYardsRec,RZRushesGame,RZRushYardsGame,RZYardAttempt,RZRushTdGame,RZPointsGame,Projections
Emmanuel Sanders,6500,39.64,FALSE,10,53.5,21.75,3,DEN,8.714285714,6.571428571,75.4,86.14285714,0.428571429,9.9,13.1,0.285714286,7.571428571,26.5,1,21.4,0.857142857,0.571428571,66.7,4.857142857,0,5.7,8.5,0,0,0,0,1.1,25.58020713
Juju Smith-Schuster,7400,43.51,TRUE,-8,51,29.5,14,PIT,10.5,7,66.7,93.5,0.333333333,8.9,13.4,0,0,0,0,20.7,2.666666667,1.5,56.2,11,0.333333333,4.1,7.3,0,0,0,0,4.9,20.93615821
AJ Green,8000,49.47,TRUE,-4,54.5,29.25,10,CIN,9.857142857,5.714285714,58,87.28571429,0.714285714,8.9,15.3,0,0,0,0,19.4,2,0.714285714,35.7,4.571428571,0.428571429,2.3,6.4,0,0,0,0,3.7,20.36985963
Antonio Brown,8500,43.51,TRUE,-8,51,29.5,11,PIT,12,6.666666667,55.6,79.66666667,1,6.6,12,0,0,0,0,21.6,1.5,0.333333333,22.2,2,0.166666667,1.3,6,0,0,0,0,1.5,20.31424743
DeSean Jackson,5300,41.39,FALSE,4,54.5,25.25,18,TB,5.833333333,3.833333333,65.7,87.66666667,0.5,15,22.9,0.5,2.5,5,1,18.4,0.5,0,0,0,0,0,0,0.166666667,2.333333333,14,0.166666667,1.2,19.75668728
Odell Beckham Jr,7500,38.35,TRUE,1,43,21,5,NYG,11.42857143,7.571428571,66.2,92.71428571,0.285714286,8.1,12.2,0.571428571,1.142857143,2,0,21.1,1.714285714,0.428571429,25,2.142857143,0.142857143,1.2,5,0.142857143,-0.142857143,-1,0,1.5,19.68415604
Davante Adams,7900,34.2,FALSE,9.5,56.5,23.5,7,GB,11.83333333,7.833333333,66.2,92.83333333,1,7.8,11.9,0,0,0,0,24.1,2.5,1.166666667,46.7,11,1,4.4,9.4,0,0,0,0,8.3,19.19719179
Jarvis Landry,7200,47.12,FALSE,8,51,21.5,19,CLE,11.71428571,5.857142857,50,69.85714286,0.285714286,6,11.9,0,0,0,0,15.7,1.857142857,0.714285714,38.5,5.571428571,0.285714286,3,7.8,0,0,0,0,3.3,18.63605563
Mike Evans,7800,41.39,FALSE,4,54.5,25.25,12,TB,9.166666667,6.666666667,72.7,98.5,0.5,10.7,14.8,0,0,0,0,20.8,0.666666667,0.333333333,50,2.166666667,0.166666667,3.2,6.5,0,0,0,0,1.6,18.28403847
Golden Tate,6000,35.78,TRUE,-3,49.5,26.25,17,DET,9.5,6.166666667,64.9,77.83333333,0.5,8.2,12.6,0.333333333,6.5,19.5,0,18.6,0.666666667,0.166666667,25,0.833333333,0,1.2,5,0,0,0,0,0.2,18.25570836
T.Y. Hilton,6300,41.96,FALSE,-3,50,26.5,35,IND,8.4,5,59.5,63.8,0.8,7.6,12.8,0,0,0,0,16.8,1.6,0.8,50,2.8,0.8,1.8,3.5,0,0,0,0,5.9,16.46234724
Tyreek Hill,8600,35.7,TRUE,-10,53.5,31.75,2,KC,8.714285714,5.857142857,67.2,90.71428571,1,10.4,15.5,1.428571429,6.428571429,4.5,0,23.3,1.285714286,1,77.8,3.857142857,0.571428571,3,3.9,0,0,0,0,4.8,16.07728915
Sterling Shepard,5200,38.35,TRUE,1,43,21,24,NYG,7.285714286,5.142857143,70.6,72.57142857,0.285714286,10,14.1,0,0,0,0,14.8,1.714285714,0.857142857,50,3.428571429,0.285714286,2,4,0,0,0,0,3.2,15.98621266
Tyler Boyd,6700,49.47,TRUE,-4,54.5,29.25,15,CIN,8,5.714285714,71.4,68.85714286,0.571428571,8.6,12,0.142857143,0.714285714,5,0,17,1,1,100,8.142857143,0.428571429,8.1,8.1,0,0,0,0,4.4,15.74760917
John Brown,5900,37.25,FALSE,-2,44,23,16,BAL,7.714285714,4,51.9,79.71428571,0.571428571,10.3,19.9,0.285714286,0.571428571,2,0,16.3,1,0.571428571,57.1,5.285714286,0.285714286,5.3,9.2,0,0,0,0,2.8,15.7138925
Cooper Kupp,6000,37.53,TRUE,-9.5,56.5,33,20,LAR,7,5,71.4,73,0.833333333,10.4,14.6,0.666666667,4.166666667,6.2,0,18.2,1.833333333,1.166666667,63.6,7,0.5,3.8,6,0.333333333,0.166666667,0.5,0,4.9,15.56529866
Kenny Golladay,5700,35.78,TRUE,-3,49.5,26.25,26,DET,7.166666667,4.833333333,67.4,77.5,0.5,10.8,16,0,0,0,0,16.1,0.833333333,0.333333333,40,1.5,0.333333333,1.8,4.5,0,0,0,0,2.5,14.9954328
Randall Cobb,4900,34.2,FALSE,9.5,56.5,23.5,75,GB,9,5.666666667,63,64.66666667,0.333333333,7.2,11.4,0,0,0,0,14.8,0.666666667,0,0,0,0,0,0,0,0,0,0,0,14.96161417
Allen Robinson,5600,47.54,TRUE,-7.5,44.5,26,52,CHI,7.166666667,4.166666667,58.1,47.5,0.333333333,6.6,11.4,0,0,0,0,10.9,1.333333333,0.5,37.5,4.5,0.333333333,3.4,9,0,0,0,0,3,14.55813183
Quincy Enunwa,4000,46.87,FALSE,7.5,44.5,18.5,61,NYJ,7.166666667,3.666666667,51.2,47.83333333,0.166666667,6.7,13,0.166666667,0,0,0,9.3,1.166666667,0.333333333,28.6,1.833333333,0,1.6,5.5,0,0,0,0,0.5,14.54821177
Robert Woods,6800,37.53,TRUE,-9.5,56.5,33,9,LAR,8.285714286,5.857142857,70.7,86,0.428571429,10.4,14.7,1.142857143,12.85714286,11.2,0,19.6,0.714285714,0.428571429,60,2,0.285714286,2.8,4.7,0.142857143,0.857142857,6,0,2.4,14.49732701
Michael Crabtree,4800,37.25,FALSE,-2,44,23,31,BAL,9.142857143,5,54.7,58.42857143,0.285714286,6.4,11.7,0,0,0,0,12.6,0.857142857,0.428571429,50,2.428571429,0.285714286,2.8,5.7,0,0,0,0,2.4,14.31786891
Taylor Gabriel,5100,47.54,TRUE,-7.5,44.5,26,33,CHI,6.333333333,5,78.9,54.83333333,0.333333333,8.7,11,1,6,6,0,14.1,0.833333333,0.666666667,80,1.166666667,0.333333333,1.4,1.8,0.166666667,0,0,0,2.8,14.11243424
Geronimo Allison,5000,34.2,FALSE,9.5,56.5,23.5,58,GB,7.25,4.75,65.5,72.25,0.5,10,15.2,0,0,0,0,15,0.75,0.5,66.7,2,0,2.7,4,0,0,0,0,0.7,13.99347149
Chris Godwin,4500,41.39,FALSE,4,54.5,25.25,38,TB,6.166666667,4.333333333,70.3,51.33333333,0.666666667,8.3,11.8,0,0,0,0,13.3,1.333333333,0.666666667,50,5,0.666666667,3.8,7.5,0,0,0,0,5.2,13.28709599
Brandin Cooks,6900,37.53,TRUE,-9.5,56.5,33,21,LAR,6.285714286,4.571428571,72.7,81.28571429,0.285714286,12.9,17.8,0.428571429,3.285714286,7.7,0,15.6,1.285714286,1.142857143,88.9,9.285714286,0.142857143,7.2,8.1,0.142857143,1,7,0,3,13.19540163
Sammy Watkins,4600,35.7,TRUE,-10,53.5,31.75,43,KC,5.714285714,3.714285714,65,49.42857143,0.142857143,8.6,13.3,0.571428571,7.142857143,12.5,0,10.7,1.142857143,0.428571429,37.5,5.428571429,0.142857143,4.8,12.7,0.142857143,-0.142857143,-1,0,1.8,12.80537636
Willie Snead,4200,37.25,FALSE,-2,44,23,44,BAL,7.142857143,4.714285714,66,48,0.142857143,6.7,10.2,0.142857143,1.857142857,13,0,10.6,0.428571429,0.285714286,66.7,2.571428571,0.142857143,6,9,0,0,0,0,1.4,12.77573297
Devin Funchess,5400,32.21,TRUE,2,44,21,34,CAR,7.833333333,4.833333333,61.7,62.33333333,0.5,8,12.9,0,0,0,0,14.1,1.166666667,0.666666667,57.1,6.666666667,0.333333333,5.7,10,0,0,0,0,3.3,12.77065096
Kevin White,3000,47.54,TRUE,-7.5,44.5,26,137,CHI,0.333333333,0.333333333,100,10.66666667,0,32,32,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,12.60568171
Robby Anderson,4100,46.87,FALSE,7.5,44.5,18.5,51,NYJ,5.142857143,2.428571429,47.2,44.85714286,0.428571429,8.7,18.5,0.142857143,-1.285714286,-9,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,12.51689293
Marvin Jones,4800,35.78,TRUE,-3,49.5,26.25,54,DET,6.166666667,3.166666667,51.4,45,0.5,7.3,14.2,0,0,0,0,10.7,1.5,0.5,33.3,3.5,0.333333333,2.3,7,0,0,0,0,2.8,12.42462022
Demaryius Thomas,4900,39.64,FALSE,10,53.5,21.75,28,DEN,7,4.714285714,67.3,53.14285714,0.428571429,7.6,11.3,0,0,0,0,13,0.857142857,0.857142857,100,3.857142857,0.285714286,4.5,4.5,0,0,0,0,3,12.3055866
Chester Rogers,4200,41.96,FALSE,-3,50,26.5,50,IND,6.571428571,4.571428571,69.6,42.14285714,0.142857143,6.4,9.2,0,0,0,0,9.9,0.714285714,0.285714286,40,3.857142857,0.142857143,5.4,13.5,0,0,0,0,1.8,12.06677219
Tyler Lockett,5200,34.02,FALSE,3,49.5,23.25,29,SEA,5.333333333,3.833333333,71.9,60,0.833333333,11.2,15.7,0.5,3,6,0,15.1,0.666666667,0.5,75,4.833333333,0.333333333,7.2,9.7,0,0,0,0,3,11.99056554
Antonio Callaway,3800,47.12,FALSE,8,51,21.5,74,CLE,5.428571429,2.285714286,42.1,28.57142857,0.142857143,5.3,12.5,0.285714286,1,3.5,0,6.4,0.428571429,0.142857143,33.3,-0.857142857,0,-2,-6,0,0,0,0,0.3,11.96723905
Adam Humphries,3400,41.39,FALSE,4,54.5,25.25,80,TB,5.333333333,3.333333333,62.5,36.66666667,0,6.9,11,0.166666667,0.666666667,4,0,7.1,0.166666667,0,0,0,0,0,0,0,0,0,0,0,11.54051939
Dante Pettis,3500,36.59,FALSE,1,43,21,117,SF,1.75,0.75,42.9,24,0.25,13.7,32,0,0,0,0,4.6,0.25,0,0,0,0,0,0,0,0,0,0,0,11.4244991
Ryan Grant,3900,41.96,FALSE,-3,50,26.5,59,IND,6,4.333333333,72.2,45,0.166666667,7.5,10.4,0,0,0,0,9.8,0.5,0.5,100,2.666666667,0.166666667,5.3,5.3,0,0,0,0,1.8,11.41056727
Anthony Miller,3400,47.54,TRUE,-7.5,44.5,26,91,CHI,4.4,2.2,50,24.8,0.4,5.6,11.3,0,0,0,0,7.1,0.8,0.2,25,2,0.2,2.5,10,0,0,0,0,1.6,11.1721927
Jarius Wright,3400,32.21,TRUE,2,44,21,82,CAR,3.833333333,2.5,65.2,26.16666667,0.166666667,6.8,10.5,0.166666667,5.666666667,34,0,7,0.333333333,0.166666667,50,0.833333333,0.166666667,2.5,5,0,0,0,0,1.6,10.89647099
Jordy Nelson,4700,36.71,TRUE,3,50,23.5,42,OAK,5.166666667,3.666666667,71,53.83333333,0.5,10.4,14.7,0,0,0,0,12.9,0.833333333,0.666666667,80,5.833333333,0.5,7,8.8,0,0,0,0,4.6,10.77990175
Larry Fitzgerald,4400,40.2,TRUE,-1,43,22,60,ARI,6.142857143,3.714285714,60.5,36.42857143,0.142857143,5.9,9.8,0,0,0,0,8.2,0.714285714,0.428571429,60,3.142857143,0.142857143,4.4,7.3,0,0,0,0,1.6,10.60443121
Courtland Sutton,3800,39.64,FALSE,10,53.5,21.75,65,DEN,4.714285714,2,42.4,35.14285714,0.285714286,7.5,17.6,0,0,0,0,7.2,0.571428571,0.142857143,25,1.142857143,0.142857143,2,8,0,0,0,0,1.1,10.59077476
Pierre Garcon,4300,36.59,FALSE,1,43,21,76,SF,5.714285714,3,52.5,32.85714286,0,5.8,11,0,0,0,0,6.3,0.428571429,0.142857143,33.3,0.571428571,0,1.3,4,0,0,0,0,0.2,10.38970141
Equanimeous St. Brown,3500,34.2,FALSE,9.5,56.5,23.5,124,GB,2,1.333333333,66.7,36,0,18,27,0,0,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,10.34769365
Paul Richardson,4000,36.27,FALSE,-1,43,22,68,WAS,4.8,3.2,66.7,42.4,0.4,8.8,13.2,0.2,0.4,2,0,9.9,0.2,0.2,100,0.4,0.2,2,2,0,0,0,0,1.4,10.28053802
Doug Baldwin,5500,34.02,FALSE,3,49.5,23.25,107,SEA,4.25,3,70.6,33.25,0,7.8,11.1,0,0,0,0,6.3,0.5,0,0,0,0,0,0,0,0,0,0,0,10.15475648
Christian Kirk,4500,40.2,TRUE,-1,43,22,47,ARI,5.285714286,4,75.7,52.57142857,0.142857143,9.9,13.1,0.285714286,1.714285714,6,0,10.3,0.142857143,0.142857143,100,0.428571429,0,3,3,0.142857143,0.714285714,5,0,0.3,10.13493405
Marquise Goodwin,5000,36.59,FALSE,1,43,21,62,SF,3.8,2.2,57.9,40.8,0.6,10.7,18.5,0.6,1.4,2.3,0,10.6,0.4,0.2,50,2.2,0.2,5.5,11,0,0,0,0,1.6,10.11721785
Jermaine Kearse,4300,46.87,FALSE,7.5,44.5,18.5,99,NYJ,4.833333333,2.666666667,55.2,27.5,0,5.7,10.3,0,0,0,0,5.4,0.5,0.333333333,66.7,2.666666667,0,5.3,8,0,0,0,0,0.6,9.976987637
Josh Doctson,3700,36.27,FALSE,-1,43,22,112,WAS,5,2.2,44,22,0,4.4,10,0,0,0,0,4.4,0.6,0,0,0,0,0,0,0,0,0,0,0,9.920966675
Martavis Bryant,3700,36.71,TRUE,3,50,23.5,91,OAK,4.4,2.8,63.6,44,0,10,15.7,0.2,0.8,4,0,7.1,0.4,0.4,100,0.6,0,1.5,1.5,0,0,0,0,0.5,9.801945341
Jamison Crowder,4400,36.27,FALSE,-1,43,22,90,WAS,5,3.25,65,33.5,0.25,6.7,10.3,0.75,8.75,11.7,0,9,1,1,100,9.5,0.25,9.5,9.5,0,0,0,0,3.4,9.743397428
Zach Pascal,3300,41.96,FALSE,-3,50,26.5,98,IND,3.857142857,2,51.9,17.71428571,0.142857143,4.6,8.9,0.142857143,1.142857143,8,0,4.7,0.571428571,0.285714286,50,1,0.142857143,1.8,3.5,0,0,0,0,1.2,9.579560402
Marquez Valdes-Scantling,4600,34.2,FALSE,9.5,56.5,23.5,81,GB,3.5,2,57.1,35.33333333,0.166666667,10.1,17.7,0,0,0,0,7,0.833333333,0.333333333,40,2.5,0.166666667,3,7.5,0,0,0,0,1.6,9.417351101
D.J. Moore,3600,32.21,TRUE,2,44,21,85,CAR,3,2.166666667,72.2,31.83333333,0.166666667,10.6,14.7,0.666666667,7.666666667,11.5,0,6.8,0,0,0,0,0,0,0,0.166666667,0,0,0,0,9.379832517
Cody Latimer,3000,38.35,TRUE,1,43,21,120,NYG,2.25,1.5,66.7,27,0,12,18,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,9.374580054
