Name,Rank,Team,TargetsGame,RecGame,RecPercentage,RecYardsGame,RecTdGame,YardsTarget,RecYardsRec,RushesGame,RushYardsGame,YardAttempt,RushTdGame,PointsGame,Score,RZTargetsGame,RZRecGame,RZRecPercentage,RZRecYardsGame,RZRecTdGame,RZYardsTarget,RZRecYardsRec,RZRushesGame,RZRushYardsGame,RZYardAttempt,RZRushTdGame,RZPointsGame,PrimeTime,Home,PointSpread,OverUnder,total,DPointsAllowed,Opponent
Adam Thielen,1,MIN,13.5,9.666666666666666,71.6,118.66666666666667,0.6666666666666666,8.8,12.3,0.0,0.0,0.0,0,28.5,29.0,1.5,1.0,66.7,5.666666666666667,0.3333333333333333,3.8,5.7,0.0,0.0,0.0,0.0,3.6,False,False,-3.5,46.5,25.0,47.54,NYJ
Tyreek Hill,3,KC,8.5,5.666666666666667,66.7,94.5,1.0,11.1,16.7,1.3333333333333333,6.166666666666667,4.6,0,23.7,20.6,1.1666666666666667,0.8333333333333334,71.4,3.8333333333333335,0.5,3.3,4.6,0.0,0.0,0.0,0.0,4.2,False,True,-6.0,57.5,31.75,41.39,CIN
DeAndre Hopkins,4,HOU,10.5,7.333333333333333,69.8,109.5,0.5,10.4,14.9,0.16666666666666666,-1.1666666666666667,-7.0,0,22.5,14.0,1.6666666666666667,0.8333333333333334,50.0,6.5,0.3333333333333333,3.9,7.8,0.0,0.0,0.0,0.0,3.5,False,False,5.0,42.0,18.5,29.46,JAX
Julio Jones,6,ATL,11.5,7.333333333333333,63.8,118.0,0.0,10.3,16.1,0.16666666666666666,1.8333333333333333,11.0,0,20.8,21.4,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,-6.0,54.0,30.0,36.27,NYG
Robert Woods,8,LAR,8.5,6.0,70.6,87.33333333333333,0.5,10.3,14.6,1.1666666666666667,14.0,12.0,0,20.6,13.4,0.8333333333333334,0.5,60.0,2.3333333333333335,0.3333333333333333,2.8,4.7,0.16666666666666666,1.0,6.0,0.0,2.8,False,False,-10.0,52.5,31.25,40.2,SF
Michael Thomas,9,NO,9.8,9.2,93.9,103.8,0.6,10.6,11.3,0.0,0.0,0.0,0,24.0,19.9,2.4,2.0,83.3,14.8,0.6,6.2,7.4,0.0,0.0,0.0,0.0,7.1,False,False,2.5,50.0,23.75,32.21,BAL
Emmanuel Sanders,10,DEN,9.0,6.666666666666667,74.1,83.5,0.3333333333333333,9.3,12.5,0.3333333333333333,8.833333333333334,26.5,1,19.9,30.32,0.8333333333333334,0.5,60.0,3.5,0.0,4.2,7.0,0.0,0.0,0.0,0.0,0.8,True,False,-1.0,42.0,21.5,36.59,ARI
Odell Beckham Jr,11,NYG,11.5,7.5,65.2,84.33333333333333,0.16666666666666666,7.3,11.2,0.5,1.5,3.0,0,19.5,31.2,1.3333333333333333,0.16666666666666666,12.5,-0.3333333333333333,0.0,-0.2,-2.0,0.16666666666666666,-0.16666666666666666,-1.0,0.0,0.1,False,False,6.0,54.0,24.0,47.83,ATL
AJ Green,12,CIN,9.166666666666666,5.5,60.0,82.33333333333333,0.8333333333333334,9.0,15.0,0.0,0.0,0.0,0,19.1,21.7,2.0,0.8333333333333334,41.7,5.333333333333333,0.5,2.7,6.4,0.0,0.0,0.0,0.0,4.4,False,False,6.0,57.5,25.75,39.64,KC
Stefon Diggs,13,MIN,10.0,6.666666666666667,66.7,72.5,0.5,7.2,10.9,0.8333333333333334,7.166666666666667,8.6,0,19.0,10.6,0.6666666666666666,0.5,75.0,1.8333333333333333,0.16666666666666666,2.8,3.7,0.0,0.0,0.0,0.0,2.0,False,False,-3.5,46.5,25.0,47.54,NYJ
Tyler Boyd,14,CIN,8.666666666666666,6.166666666666667,71.2,75.83333333333333,0.6666666666666666,8.8,12.3,0.16666666666666666,0.8333333333333334,5.0,0,18.8,5.7,1.1666666666666667,1.1666666666666667,100.0,9.5,0.5,8.1,8.1,0.0,0.0,0.0,0.0,5.1,False,False,6.0,57.5,25.75,39.64,KC
Mike Evans,16,TB,8.8,6.6,75.0,96.8,0.6,11.0,14.7,0.0,0.0,0.0,0,20.9,20.7,0.6,0.4,66.7,2.6,0.2,4.3,6.5,0.0,0.0,0.0,0.0,1.9,False,True,-3.0,49.5,26.25,43.51,CLE
Golden Tate,17,DET,10.2,6.6,64.7,86.2,0.6,8.5,13.1,0.2,1.8,9.0,0,20.2,10.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,-3.0,47.0,25.0,35.19,MIA
DeSean Jackson,18,TB,6.2,4.2,67.7,100.2,0.6,16.2,23.9,0.2,1.4,7.0,0,19.8,11.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,-3.0,49.5,26.25,43.51,CLE
Calvin Ridley,19,ATL,4.833333333333333,3.6666666666666665,75.9,58.166666666666664,1.0,12.0,15.9,0.5,2.1666666666666665,4.3,0,16.2,9.3,0.8333333333333334,0.8333333333333334,100.0,9.333333333333334,0.6666666666666666,11.2,11.2,0.0,0.0,0.0,0.0,5.8,False,True,-6.0,54.0,30.0,36.27,NYG
Albert Wilson,20,MIA,5.333333333333333,3.8333333333333335,71.9,59.833333333333336,0.6666666666666666,11.2,15.6,1.0,2.0,2.0,0,15.5,6.6,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.5,3.0,0.0,0.0,False,True,3.0,47.0,22.0,34.02,DET
Brandin Cooks,21,LAR,6.5,4.666666666666667,71.8,84.16666666666667,0.16666666666666666,12.9,18.0,0.3333333333333333,2.6666666666666665,8.0,0,15.4,17.1,1.1666666666666667,1.0,85.7,7.333333333333333,0.0,6.3,7.3,0.0,0.0,0.0,0.0,1.7,False,False,-10.0,52.5,31.25,40.2,SF
Keenan Allen,22,LAC,8.5,6.0,70.6,72.33333333333333,0.16666666666666666,8.5,12.1,0.8333333333333334,7.666666666666667,9.2,0,15.3,12.2,0.8333333333333334,0.5,60.0,7.166666666666667,0.16666666666666666,8.6,14.3,0.0,0.0,0.0,0.0,2.2,False,True,-6.5,45.0,25.75,41.56,TEN
Kenny Golladay,23,DET,8.2,5.4,65.9,85.6,0.6,10.4,15.9,0.0,0.0,0.0,0,18.2,5.7,1.0,0.4,40.0,1.8,0.4,1.8,4.5,0.0,0.0,0.0,0.0,3.0,False,False,-3.0,47.0,25.0,35.19,MIA
John Brown,25,BAL,7.833333333333333,3.5,44.7,70.66666666666667,0.5,9.0,20.2,0.3333333333333333,0.6666666666666666,2.0,0,14.1,29.4,0.8333333333333334,0.3333333333333333,40.0,3.0,0.16666666666666666,3.6,9.0,0.0,0.0,0.0,0.0,1.6,False,True,-2.5,50.0,26.25,53.2,NO
