Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Eric Ebron,IND,TE,8,15,7,46.7,74,6,20,4.9,10.6,1,-1,-1,0,0,0,6.3,50.3
2,Zach Ertz,PHI,TE,8,14,7,50,50,3,10,3.6,7.1,0,0,0,0,0,0,3.8,30
3,Travis Kelce,KC,TE,8,12,6,50,54,3,19,4.5,9,0,0,0,0,0,0,3.7,29.4
4,Trey Burton,CHI,TE,7,7,6,85.7,38,3,15,5.4,6.3,1,2,2,0,0,0,4,28
5,Jared Cook,OAK,TE,7,11,9,81.8,53,2,13,4.8,5.9,0,0,0,0,0,0,3.8,26.3
6,Erik Swoope,IND,TE,5,4,4,100,39,3,17,9.8,9.8,0,0,0,0,0,0,5.2,25.9
7,Cameron Brate,TB,TE,7,4,3,75,35,3,16,8.8,11.7,0,0,0,0,0,0,3.5,24.5
8,Michael Roberts,DET,TE,4,4,3,75,34,3,15,8.5,11.3,0,0,0,0,0,0,6.1,24.4
9,Chris Herndon IV,NYJ,TE,6,4,4,100,58,2,17,14.5,14.5,0,0,0,0,1,0,3.6,21.8
10,Austin Hooper,ATL,TE,7,6,4,66.7,31,2,11,5.2,7.8,0,0,0,0,0,0,3,21.1
11,OJ Howard,TB,TE,7,4,3,75,43,2,18,10.8,14.3,0,0,0,0,0,0,2.8,19.3
12,Kyle Rudolph,MIN,TE,8,7,3,42.9,23,2,11,3.3,7.7,0,0,0,0,0,0,2.2,17.3
12,Jordan Thomas,HOU,TE,8,4,3,75,23,2,13,5.8,7.7,0,0,0,0,0,0,2.2,17.3
14,George Kittle,SF,TE,8,9,5,55.6,41,1,10,4.6,8.2,0,0,0,0,0,0,2.1,17.1
15,Demetrius Harris,KC,TE,7,2,2,100,30,2,17,15,15,0,0,0,0,0,0,2.4,17
16,Dallas Goedert,PHI,TE,8,5,3,60,19,2,13,3.8,6.3,0,0,0,0,0,0,2.1,16.9
17,Mark Andrews,BAL,TE,8,4,3,75,17,2,8,4.2,5.7,0,0,0,0,0,0,2.1,16.7
18,Evan Engram,NYG,TE,5,4,2,50,20,2,18,5,10,0,0,0,0,0,0,3.2,16
19,Will Dissly,SEA,TE,4,2,2,100,17,2,15,8.5,8.5,0,0,0,0,0,0,3.9,15.7
20,David Njoku,CLE,TE,8,3,2,66.7,16,2,15,5.3,8,0,0,0,0,0,0,2,15.6
21,Greg Olsen,CAR,TE,4,2,2,100,12,2,11,6,6,0,0,0,0,0,0,3.8,15.2
22,CJ Uzomah,CIN,TE,8,3,2,66.7,5,2,4,1.7,2.5,0,0,0,0,0,0,1.8,14.5
23,Rhett Ellison,NYG,TE,7,4,3,75,27,1,16,6.8,9,0,0,0,0,0,0,2,13.7
24,Jack Doyle,IND,TE,3,4,3,75,31,1,12,7.8,10.3,0,0,0,0,0,0,4,12.1
25,Virgil Green,LAC,TE,7,4,3,75,22,1,13,5.5,7.3,0,0,0,0,0,0,1.6,11.2
26,Jimmy Graham,GB,TE,7,6,3,50,20,1,13,3.3,6.7,0,0,0,0,0,0,1.6,11
27,Benjamin Watson,NO,TE,7,5,3,60,14,1,7,2.8,4.7,0,0,0,0,0,0,1.5,10.4
28,Jeff Heuerman,DEN,TE,8,12,3,25,13,1,5,1.1,4.3,0,0,0,0,0,0,1.3,10.3
29,Antonio Gates,LAC,TE,7,4,1,25,5,1,5,1.2,5,0,0,0,0,0,0,1.4,9.5
30,AJ Derby,MIA,TE,3,1,1,100,19,1,19,19,19,0,0,0,0,0,0,3,8.9
31,Logan Paulsen,ATL,TE,7,1,1,100,17,1,17,17,17,0,0,0,0,0,0,1.2,8.7
32,Tyler Eifert,CIN,TE,4,2,1,50,15,1,15,7.5,15,0,0,0,0,0,0,2.1,8.5
32,Lance Kendricks,GB,TE,7,2,2,100,5,1,4,2.5,2.5,0,0,0,0,0,0,1.2,8.5
34,Jordan Leggett,NYJ,TE,7,2,2,100,4,1,2,2,2,0,0,0,0,0,0,1.2,8.4
35,Ed Dickson,SEA,TE,1,1,1,100,12,1,12,12,12,0,0,0,0,0,0,8.2,8.2
36,Garrett Celek,SF,TE,8,2,1,50,11,1,11,5.5,11,0,0,0,0,0,0,1,8.1
37,Nick O'Leary,MIA,TE,3,1,1,100,5,1,5,5,5,0,0,0,0,0,0,2.5,7.5
38,Jordan Reed,WAS,TE,7,3,1,33.3,4,1,4,1.3,4,0,0,0,0,0,0,1.1,7.4
38,Austin Seferian-Jenkins,JAX,TE,5,2,1,50,4,1,4,2,4,0,0,0,0,0,0,1.5,7.4
40,Tyler Higbee,LAR,TE,8,3,1,33.3,3,1,3,1,3,0,0,0,0,0,0,0.9,7.3
41,Luke Stocker,TEN,TE,7,2,1,50,1,1,1,0.5,1,0,0,0,0,0,0,1,7.1
41,Josh Hill,NO,TE,7,1,1,100,1,1,1,1,1,0,0,0,0,0,0,1,7.1
41,Geoff Swaim,DAL,TE,7,2,1,50,1,1,1,0.5,1,0,0,0,0,0,0,1,7.1
