Name,Team,Rank,RushesGame,RushYardGame,YardAttempt,RushTdGame,TargetsGame,RecGame,RecYardsGame,RecTdGame,PointsGame,Score,RZattemptsGame,RZyardsGame,RZYardAtt,RZTDGame,RZTarGame,RZRecGame,RZRecYarGame,RZRecTDGame,RZPointsGame,PrimeTime,Home,PointSpread,OverUnder,total,DPointsAllowed,Opponent
Todd Gurley,LAR,1,21.5,103.83333333333333,4.8,1.5,5.0,3.5,41.166666666666664,0.3333333333333333,31.0,30.6,6.166666666666667,18.5,3.0,1.5,1.8333333333333333,1.0,8.833333333333334,0.3333333333333333,15.4,False,False,-10.0,52.5,31.25,28.93,SF
Saquon Barkley,NYG,3,14.0,73.0,5.2,0.6666666666666666,8.5,6.666666666666667,62.166666666666664,0.3333333333333333,27.2,26.4,2.0,4.166666666666667,2.1,0.3333333333333333,1.1666666666666667,0.8333333333333334,5.833333333333333,0.16666666666666666,4.8,False,False,6.0,54.0,24.0,33.41,ATL
Alvin Kamara,NO,4,12.4,59.8,4.8,1.0,10.2,7.6,70.2,0.2,30.4,15.5,4.2,10.8,2.6,0.8,3.0,2.2,12.8,0.2,11.4,False,False,2.5,50.0,23.75,14.57,BAL
Ezekiel Elliott,DAL,6,19.5,97.66666666666667,5.0,0.5,5.0,3.8333333333333335,27.666666666666668,0.16666666666666666,21.7,6.2,2.3333333333333335,6.5,2.8,0.5,0.8333333333333334,0.6666666666666666,2.1666666666666665,0.0,4.5,False,False,1.5,42.0,20.25,19.95,WAS
Kareem Hunt,KC,7,17.166666666666668,76.0,4.4,0.6666666666666666,2.5,1.6666666666666667,28.5,0.3333333333333333,19.1,37.1,2.5,6.166666666666667,2.5,0.6666666666666666,0.5,0.16666666666666666,0.8333333333333334,0.16666666666666666,5.9,False,True,-6.0,57.5,31.75,31.57,CIN
James White,NE,8,4.833333333333333,24.833333333333332,5.1,0.16666666666666666,8.5,6.166666666666667,53.833333333333336,0.6666666666666666,19.0,29.7,1.0,2.3333333333333335,2.3,0.0,1.5,1.1666666666666667,10.0,0.6666666666666666,6.4,False,False,-3.0,49.5,26.25,18.65,CHI
Christian McCaffrey,CAR,9,14.2,69.8,4.9,0.0,8.0,6.8,47.6,0.2,20.7,14.0,1.6,3.2,2.0,0.0,0.8,0.6,4.8,0.2,2.4,False,False,5.0,45.0,20.0,19.69,PHI
TJ Yeldon,JAX,10,11.166666666666666,49.833333333333336,4.5,0.16666666666666666,6.166666666666667,4.166666666666667,37.166666666666664,0.5,16.7,17.8,1.6666666666666667,6.166666666666667,3.7,0.16666666666666666,1.0,0.5,5.833333333333333,0.3333333333333333,4.7,False,True,-5.0,42.0,23.5,21.85,HOU
David Johnson,ARI,11,15.333333333333334,49.333333333333336,3.2,0.8333333333333334,4.5,2.8333333333333335,22.5,0.16666666666666666,15.7,10.0,2.3333333333333335,5.5,2.4,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.6666666666666666,0.0,6.0,True,True,1.0,42.0,20.5,29.24,DEN
Isaiah Crowell,NYJ,12,11.666666666666666,71.66666666666667,6.1,0.8333333333333334,1.6666666666666667,1.3333333333333333,8.0,0.0,15.3,6.0,2.3333333333333335,6.0,2.6,0.5,0.0,0.0,0.0,0.0,3.6,False,True,3.5,46.5,21.5,18.99,MIN
