Name,Rank,Team,TargetsGame,RecGame,RecPercentage,RecYardsGame,RecTdGame,YardsTarget,RecYardsRec,RushesGame,RushYardsGame,YardAttempt,RushTdGame,PointsGame,Score,RZTargetsGame,RZRecGame,RZRecPercentage,RZRecYardsGame,RZRecTdGame,RZYardsTarget,RZRecYardsRec,RZRushesGame,RZRushYardsGame,RZYardAttempt,RZRushTdGame,RZPointsGame,PrimeTime,Home,PointSpread,OverUnder,total,DPointsAllowed,Opponent
Zach Ertz,1,PHI,11.166666666666666,8.0,71.6,80.0,0.3333333333333333,7.2,10.0,0.0,0.0,0,0,19.0,25.8,1.8333333333333333,0.8333333333333334,45.5,6.0,0.3333333333333333,3.3,7.2,0.0,0.0,0,0.0,3.4,False,True,-5.0,45.0,25.0,19.63,CAR
Travis Kelce,2,KC,9.166666666666666,5.5,60.0,78.0,0.5,8.5,14.2,0.0,0.0,0,0,17.8,14.5,1.5,0.6666666666666666,44.4,6.5,0.3333333333333333,4.3,9.8,0.0,0.0,0,0.0,3.3,False,True,-6.0,57.5,31.75,17.69,CIN
Eric Ebron,3,IND,8.666666666666666,5.0,57.7,54.333333333333336,1.0,6.3,10.9,0.16666666666666666,-0.16666666666666666,-1,0,16.9,6.1,2.3333333333333335,1.0,42.9,9.0,0.8333333333333334,3.9,9.0,0.16666666666666666,-0.16666666666666666,-1,0.0,6.9,False,True,-7.5,43.0,25.25,10.86,BUF
George Kittle,5,SF,6.833333333333333,4.5,65.9,71.5,0.16666666666666666,10.5,15.9,0.0,0.0,0,0,13.5,20.8,1.0,0.5,50.0,3.5,0.0,3.5,7.0,0.0,0.0,0,0.0,1.2,False,True,10.0,52.5,21.25,13.7,LAR
Austin Hooper,7,ATL,6.166666666666667,5.0,81.1,45.5,0.3333333333333333,7.4,9.1,0.0,0.0,0,0,11.9,7.8,1.0,0.6666666666666666,66.7,5.166666666666667,0.3333333333333333,5.2,7.8,0.0,0.0,0,0.0,3.5,False,True,-6.0,54.0,30.0,10.0,NYG
Kyle Rudolph,9,MIN,5.166666666666667,4.5,87.1,44.333333333333336,0.3333333333333333,8.6,9.9,0.0,0.0,0,0,10.9,2.6,0.5,0.5,100.0,3.8333333333333335,0.3333333333333333,7.7,7.7,0.0,0.0,0,0.0,2.9,False,False,-3.5,46.5,25.0,9.84,NYJ
David Njoku,10,CLE,7.666666666666667,4.5,58.7,40.833333333333336,0.16666666666666666,5.3,9.1,0.0,0.0,0,0,9.6,15.2,0.3333333333333333,0.16666666666666666,50.0,0.16666666666666666,0.16666666666666666,0.5,1.0,0.0,0.0,0,0.0,1.2,False,False,3.0,49.5,23.25,20.13,TB
OJ Howard,11,TB,4.2,3.0,71.4,56.8,0.4,13.5,18.9,0.0,0.0,0,0,11.1,11.7,0.6,0.4,66.7,5.0,0.2,8.3,12.5,0.0,0.0,0,0.0,2.1,False,True,-3.0,49.5,26.25,12.87,CLE
Trey Burton,14,CHI,4.6,3.0,65.2,39.8,0.6,8.7,13.3,0.2,0.4,2,0,10.6,30.6,0.8,0.6,75.0,5.4,0.4,6.8,9.0,0.2,0.4,2,0.0,3.6,False,True,3.0,49.5,23.25,16.93,NE
Jordan Reed,15,WAS,6.2,4.0,64.5,45.0,0.2,7.3,11.2,0.0,0.0,0,0,9.5,6.3,0.4,0.2,50.0,0.8,0.2,2.0,4.0,0.0,0.0,0,0.0,1.5,False,True,-1.5,42.0,21.75,10.64,DAL
